tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
0,linear, random_normal, 0.001, 0.001, Adam, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 19, 1, 6, 871000)
1,relu, random_normal, 0.01, 0.01, Adam, l1l2, 512, 58.2073, datetime.datetime(2018, 10, 9, 19, 1, 39, 546000)
2,relu, random_normal, 0.01, 0.01, Adam, l2, 512, 57.6362, datetime.datetime(2018, 10, 9, 19, 3, 1, 186000)
3,linear, random_normal, 1e-05, 0.001, RMSprop, l1l2, 64, 36.7905, datetime.datetime(2018, 10, 9, 19, 4, 21, 530000)
4,linear, random_uniform, 0.001, 0.01, Adam, l1, 512, 58.5345, datetime.datetime(2018, 10, 9, 19, 5, 5, 982000)
5,relu, random_normal, 0.01, 0.0001, SGD, l1l2, 64, 91.1044, datetime.datetime(2018, 10, 9, 19, 6, 32, 984000)
6,linear, random_uniform, 0.001, 0.001, Adamgrad, l2, 64, 91.1044, datetime.datetime(2018, 10, 9, 19, 6, 55, 828000)
7,relu, random_uniform, 1e-05, 0.0001, RMSprop, l1, 64, 53.0973, datetime.datetime(2018, 10, 9, 19, 7, 18, 988000)
8,relu, random_normal, 0.0001, 0.001, RMSprop, l1, 64, 35.4959, datetime.datetime(2018, 10, 9, 19, 9, 9, 354000)
9,linear, random_normal, 1e-05, 0.0001, SGD, l1, 64, 91.1044, datetime.datetime(2018, 10, 9, 19, 10, 13, 936000)
10,linear, random_normal, 1e-05, 0.001, SGD, l1l2, 64, 58.177, datetime.datetime(2018, 10, 9, 19, 10, 41, 634000)
11,linear, random_uniform, 0.001, 0.01, Adamgrad, l1l2, 64, 90.0674, datetime.datetime(2018, 10, 9, 19, 12, 33, 499000)
12,linear, random_normal, 0.01, 0.01, Adamgrad, l2, 64, 58.3333, datetime.datetime(2018, 10, 9, 19, 13, 1, 74000)
13,relu, random_uniform, 1e-05, 0.01, Adamgrad, l1, 64, 91.1044, datetime.datetime(2018, 10, 9, 19, 14, 55, 236000)
14,linear, random_uniform, 0.001, 0.0001, Adam, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 19, 15, 24, 748000)
15,linear, random_normal, 0.001, 0.01, Adam, l1, 512, 56.5615, datetime.datetime(2018, 10, 9, 19, 16, 0, 844000)
16,relu, random_uniform, 0.001, 0.0001, Adam, l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 19, 17, 40, 635000)
17,linear, random_uniform, 0.0001, 0.0001, Adam, l1, 64, 91.1044, datetime.datetime(2018, 10, 9, 19, 18, 17, 774000)
18,linear, random_normal, 1e-05, 0.001, Adamgrad, l2, 64, 91.1044, datetime.datetime(2018, 10, 9, 19, 19, 1, 660000)
19,relu, random_normal, 0.01, 0.001, Adam, l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 19, 19, 36, 425000)
20,relu, random_normal, 0.0001, 0.001, RMSprop, l1, 64, 36.2798, datetime.datetime(2018, 10, 9, 19, 20, 11, 208000)
21,relu, random_normal, 0.0001, 0.001, RMSprop, l1, 64, 35.9758, datetime.datetime(2018, 10, 9, 19, 21, 26, 885000)
22,relu, random_normal, 0.01, 0.001, RMSprop, l1, 64, 36.6262, datetime.datetime(2018, 10, 9, 19, 22, 48, 68000)
