tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
0,relu, random_normal, 1e-05, 0.0001, RMSprop, l2, 512, 38.5339, datetime.datetime(2018, 10, 9, 21, 11, 53, 426000)
1,relu, random_normal, 0.001, 0.01, RMSprop, l1l2, 512, 34.4445, datetime.datetime(2018, 10, 9, 21, 13, 3, 544000)
2,linear, random_normal, 0.01, 0.0001, RMSprop, l2, 512, 38.7553, datetime.datetime(2018, 10, 9, 21, 13, 48, 165000)
3,linear, random_normal, 1e-05, 0.01, RMSprop, l1l2, 64, 36.118, datetime.datetime(2018, 10, 9, 21, 14, 47, 167000)
4,linear, random_uniform, 0.0001, 0.001, RMSprop, l1, 64, 34.4417, datetime.datetime(2018, 10, 9, 21, 15, 28, 630000)
5,linear, random_normal, 1e-05, 0.0001, Adam, l1, 64, 91.1063, datetime.datetime(2018, 10, 9, 21, 16, 30, 93000)
6,linear, random_uniform, 0.01, 0.0001, RMSprop, l2, 64, 42.1957, datetime.datetime(2018, 10, 9, 21, 17, 5, 250000)
7,relu, random_uniform, 1e-05, 0.01, SGD, l1l2, 512, 37.2027, datetime.datetime(2018, 10, 9, 21, 19, 8, 87000)
8,linear, random_uniform, 1e-05, 0.01, SGD, l1, 512, 38.3663, datetime.datetime(2018, 10, 9, 21, 20, 17, 766000)
9,relu, random_normal, 0.001, 0.0001, Adamgrad, l1, 512, 91.1063, datetime.datetime(2018, 10, 9, 21, 21, 11, 676000)
10,linear, random_normal, 0.0001, 0.001, SGD, l1l2, 512, 57.488, datetime.datetime(2018, 10, 9, 21, 21, 49, 291000)
11,relu, random_normal, 1e-05, 0.001, Adam, l1l2, 512, 91.1063, datetime.datetime(2018, 10, 9, 21, 23, 22, 350000)
12,relu, random_normal, 0.001, 0.001, SGD, l1l2, 512, 58.647, datetime.datetime(2018, 10, 9, 21, 23, 54, 815000)
13,linear, random_normal, 1e-05, 0.01, SGD, l1l2, 512, 38.2114, datetime.datetime(2018, 10, 9, 21, 25, 43, 327000)
14,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 32.0303, datetime.datetime(2018, 10, 9, 21, 26, 39, 143000)
15,relu, random_normal, 1e-05, 0.001, Adam, l1, 512, 91.1063, datetime.datetime(2018, 10, 9, 21, 27, 38, 92000)
16,linear, random_uniform, 1e-05, 0.001, RMSprop, l1l2, 64, 35.1418, datetime.datetime(2018, 10, 9, 21, 28, 14, 531000)
17,relu, random_uniform, 1e-05, 0.0001, Adam, l1l2, 512, 91.1063, datetime.datetime(2018, 10, 9, 21, 29, 24, 402000)
18,relu, random_uniform, 1e-05, 0.01, Adamgrad, l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 21, 30, 13, 940000)
19,relu, random_uniform, 0.0001, 0.0001, SGD, l1l2, 512, 91.1063, datetime.datetime(2018, 10, 9, 21, 30, 53, 293000)
20,linear, random_uniform, 0.0001, 0.001, RMSprop, l1, 64, 33.806, datetime.datetime(2018, 10, 9, 21, 31, 33, 6000)
21,linear, random_uniform, 0.01, 0.01, RMSprop, l1, 64, 38.1001, datetime.datetime(2018, 10, 9, 21, 32, 57, 784000)
22,relu, random_uniform, 0.0001, 0.001, RMSprop, l1, 64, 34.5915, datetime.datetime(2018, 10, 9, 21, 34, 9, 413000)
23,linear, random_uniform, 0.0001, 0.01, Adamgrad, l1, 64, 90.6652, datetime.datetime(2018, 10, 9, 21, 36, 2, 232000)
24,relu, random_uniform, 0.0001, 0.001, RMSprop, l1, 64, 34.5992, datetime.datetime(2018, 10, 9, 21, 36, 45, 700000)
25,linear, random_normal, 0.0001, 0.001, RMSprop, l2, 64, 34.231, datetime.datetime(2018, 10, 9, 21, 38, 46, 174000)
26,relu, random_normal, 0.001, 0.01, Adamgrad, l1, 64, 65.2044, datetime.datetime(2018, 10, 9, 21, 40, 7, 413000)
27,linear, random_uniform, 0.01, 0.001, RMSprop, l1l2, 64, 34.3837, datetime.datetime(2018, 10, 9, 21, 42, 29, 328000)
28,relu, random_normal, 0.001, 0.01, RMSprop, l2, 64, 32.7823, datetime.datetime(2018, 10, 9, 21, 43, 58, 855000)
29,relu, random_normal, 0.001, 0.01, RMSprop, l2, 64, 34.9458, datetime.datetime(2018, 10, 9, 21, 45, 14, 23000)
30,relu, random_normal, 0.001, 0.01, RMSprop, l2, 64, 33.8742, datetime.datetime(2018, 10, 9, 21, 46, 34, 501000)
31,relu, random_normal, 0.001, 0.01, RMSprop, l2, 64, 34.2312, datetime.datetime(2018, 10, 9, 21, 48, 3, 731000)
32,relu, random_normal, 0.001, 0.01, RMSprop, l2, 64, 34.1934, datetime.datetime(2018, 10, 9, 21, 49, 16, 329000)
33,relu, random_normal, 0.0001, 0.01, Adam, l2, 64, 71.621, datetime.datetime(2018, 10, 9, 21, 50, 47, 932000)
34,relu, random_normal, 0.001, 0.01, RMSprop, l2, 64, 33.3183, datetime.datetime(2018, 10, 9, 21, 52, 58, 455000)
35,relu, random_normal, 0.001, 0.01, Adamgrad, l2, 64, 71.4636, datetime.datetime(2018, 10, 9, 21, 54, 28, 304000)
36,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 35.7142, datetime.datetime(2018, 10, 9, 21, 56, 42, 848000)
37,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 31.9546, datetime.datetime(2018, 10, 9, 21, 58, 17, 73000)
38,relu, random_normal, 0.01, 0.0001, Adam, l1l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 21, 59, 54, 85000)
39,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 31.5775, datetime.datetime(2018, 10, 9, 22, 1, 2, 923000)
40,relu, random_normal, 1e-05, 0.01, Adamgrad, l2, 64, 71.4211, datetime.datetime(2018, 10, 9, 22, 2, 46, 519000)
41,relu, random_normal, 1e-05, 0.0001, RMSprop, l2, 64, 48.9672, datetime.datetime(2018, 10, 9, 22, 5, 8, 558000)
42,relu, random_normal, 1e-05, 0.01, SGD, l2, 64, 37.9165, datetime.datetime(2018, 10, 9, 22, 8, 26, 98000)
43,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 33.8632, datetime.datetime(2018, 10, 9, 22, 10, 20, 121000)
44,relu, random_normal, 1e-05, 0.0001, Adam, l2, 512, 91.1063, datetime.datetime(2018, 10, 9, 22, 11, 58, 487000)
45,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 33.7298, datetime.datetime(2018, 10, 9, 22, 13, 3, 646000)
46,relu, random_normal, 0.01, 0.01, SGD, l2, 512, 36.4217, datetime.datetime(2018, 10, 9, 22, 14, 31, 821000)
47,relu, random_normal, 1e-05, 0.0001, Adamgrad, l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 22, 16, 20, 881000)
48,relu, random_normal, 0.0001, 0.01, Adam, l2, 512, 58.7031, datetime.datetime(2018, 10, 9, 22, 18, 7, 20000)
49,linear, random_normal, 1e-05, 0.01, SGD, l2, 64, 38.4596, datetime.datetime(2018, 10, 9, 22, 20, 50, 972000)
50,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 33.1294, datetime.datetime(2018, 10, 9, 22, 23, 16, 42000)
51,relu, random_normal, 0.01, 0.0001, RMSprop, l2, 512, 38.6534, datetime.datetime(2018, 10, 9, 22, 24, 54, 368000)
