tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
0,linear, random_uniform, 1e-05, 0.001, Adamgrad, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 1, 43, 24, 197000)
1,relu, random_normal, 1e-05, 0.0001, Adam, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 43, 45, 342000)
2,linear, random_normal, 1e-05, 0.001, Adamgrad, l1l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 44, 21, 357000)
3,linear, random_normal, 0.001, 0.01, Adamgrad, l1, 512, 58.9936, datetime.datetime(2018, 10, 10, 1, 44, 45, 890000)
4,linear, random_normal, 0.001, 0.001, Adam, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 45, 53, 524000)
5,linear, random_uniform, 0.001, 0.001, Adamgrad, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 1, 46, 19, 727000)
6,relu, random_uniform, 1e-05, 0.001, Adamgrad, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 46, 46, 222000)
7,linear, random_uniform, 0.0001, 0.0001, SGD, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 47, 14, 278000)
8,linear, random_normal, 0.001, 0.001, Adam, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 1, 47, 42, 849000)
9,linear, random_normal, 0.01, 0.001, RMSprop, l1, 512, 35.2044, datetime.datetime(2018, 10, 10, 1, 48, 12, 712000)
10,relu, random_normal, 0.0001, 0.01, Adam, l2, 512, 59.2284, datetime.datetime(2018, 10, 10, 1, 49, 4, 641000)
11,linear, random_normal, 1e-05, 0.0001, Adamgrad, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 50, 19, 820000)
12,relu, random_normal, 1e-05, 0.0001, RMSprop, l1, 512, 38.7485, datetime.datetime(2018, 10, 10, 1, 51, 10, 17000)
13,relu, random_normal, 0.0001, 0.01, Adamgrad, l1l2, 64, 59.0507, datetime.datetime(2018, 10, 10, 1, 52, 37, 342000)
14,linear, random_uniform, 1e-05, 0.0001, SGD, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 54, 42, 925000)
15,linear, random_normal, 0.01, 0.0001, SGD, l1l2, 512, 91.0863, datetime.datetime(2018, 10, 10, 1, 55, 20, 747000)
16,linear, random_uniform, 0.01, 0.0001, Adamgrad, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 1, 55, 58, 375000)
17,linear, random_uniform, 0.01, 0.0001, SGD, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 1, 56, 53, 642000)
18,relu, random_normal, 1e-05, 0.01, Adam, l2, 64, 59.1183, datetime.datetime(2018, 10, 10, 1, 57, 34, 653000)
19,linear, random_normal, 0.001, 0.01, RMSprop, l1l2, 64, 36.7588, datetime.datetime(2018, 10, 10, 1, 59, 43, 582000)
20,linear, random_normal, 0.001, 0.01, RMSprop, l1l2, 512, 36.8261, datetime.datetime(2018, 10, 10, 2, 0, 43, 377000)
21,linear, random_normal, 0.001, 0.01, RMSprop, l1l2, 512, 36.2237, datetime.datetime(2018, 10, 10, 2, 2, 4, 108000)
22,linear, random_normal, 0.01, 0.01, RMSprop, l1, 512, 49.4425, datetime.datetime(2018, 10, 10, 2, 3, 15, 339000)
23,linear, random_normal, 0.0001, 0.001, RMSprop, l1l2, 512, 33.6788, datetime.datetime(2018, 10, 10, 2, 4, 33, 230000)
