tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
0,linear, random_uniform, 0.001, 0.0001, RMSprop, l2, 512, 37.1283, datetime.datetime(2018, 10, 10, 3, 53, 28, 173000)
1,relu, random_uniform, 0.0001, 0.001, Adam, l1, 512, 91.1091, datetime.datetime(2018, 10, 10, 3, 54, 43, 366000)
2,linear, random_uniform, 0.01, 0.0001, Adamgrad, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 3, 55, 6, 197000)
3,linear, random_normal, 1e-05, 0.01, SGD, l1l2, 64, 39.0541, datetime.datetime(2018, 10, 10, 3, 55, 33, 832000)
4,linear, random_normal, 0.0001, 0.001, Adam, l1l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 3, 56, 38, 622000)
5,relu, random_normal, 0.0001, 0.0001, RMSprop, l2, 64, 54.8455, datetime.datetime(2018, 10, 10, 3, 57, 6, 165000)
6,relu, random_uniform, 0.01, 0.0001, SGD, l1l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 3, 58, 41, 961000)
7,relu, random_normal, 0.0001, 0.001, Adamgrad, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 3, 59, 10, 434000)
8,linear, random_normal, 1e-05, 0.001, Adamgrad, l1, 512, 91.1091, datetime.datetime(2018, 10, 10, 3, 59, 40, 130000)
9,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 32.3992, datetime.datetime(2018, 10, 10, 4, 0, 10, 802000)
10,relu, random_uniform, 0.01, 0.0001, SGD, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 4, 1, 23, 172000)
11,relu, random_normal, 0.0001, 0.001, SGD, l1l2, 512, 58.7498, datetime.datetime(2018, 10, 10, 4, 1, 57, 537000)
12,relu, random_normal, 0.01, 0.01, SGD, l1l2, 512, 34.9572, datetime.datetime(2018, 10, 10, 4, 3, 22, 277000)
13,linear, random_normal, 1e-05, 0.001, Adam, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 4, 4, 50, 405000)
