tentativa,activation, dropout, init, lr, lr_reg, n_layers, opt, reg, units1, loss
0,relu, 0.3, random_normal, 0.0001, 0.0001, 1, RMSprop, l2, 32, 15.4636
1,linear, 0.1, random_uniform, 0.001, 0.001, 2, Adamgrad, l1l2, 32, 99.4968
2,linear, 0.5, random_uniform, 0.01, 0.0001, 1, Adam, l1, 32, 89.4539
3,linear, 0.7, random_normal, 0.0001, 0.001, 1, SGD, l2, 32, 96.5663
4,relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 64, 12.4659
5,linear, 0.5, random_uniform, 0.001, 0.001, 4, RMSprop, l1l2, 32, 99.4985
6,relu, 0.7, random_uniform, 0.0001, 0.0001, 1, Adam, l1l2, 32, 98.8573
7,linear, 0.5, random_uniform, 0.01, 0.0001, 2, RMSprop, l1, 128, 34.5708
8,relu, 0, random_normal, 0.01, 1e-05, 4, RMSprop, l2, 32, 68.1555
9,linear, 0.1, random_uniform, 0.0001, 0.01, 2, RMSprop, l1l2, 64, 99.4979
10,linear, 0.3, random_uniform, 0.01, 0.001, 2, Adamgrad, l2, 32, 99.4989
11,linear, 0.7, random_normal, 0.01, 0.0001, 2, Adamgrad, l1l2, 128, 92.4142
12,relu, 0.3, random_uniform, 0.001, 0.01, 2, RMSprop, l2, 64, 99.4979
13,relu, 0.5, random_normal, 0.0001, 0.01, 2, RMSprop, l1, 64, 99.4985
14,linear, 0, random_uniform, 0.0001, 0.0001, 1, Adam, l2, 32, 99.2786
15,linear, 0.3, random_uniform, 0.01, 1e-05, 2, RMSprop, l1l2, 128, 99.5415
16,linear, 0.5, random_uniform, 0.001, 1e-05, 2, RMSprop, l1l2, 64, 99.4991
17,relu, 0.7, random_uniform, 0.01, 0.001, 1, RMSprop, l1l2, 32, 99.5003
18,relu, 0.1, random_uniform, 0.01, 1e-05, 1, Adamgrad, l1, 64, 57.6916
19,linear, 0.7, random_normal, 0.0001, 1e-05, 1, RMSprop, l1, 32, 19.8733
20,relu, 0.3, random_normal, 0.0001, 0.0001, 1, SGD, l2, 64, 95.332
21,relu, 0.3, random_normal, 0.0001, 1e-05, 4, SGD, l2, 64, 99.4996
22,relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 11.0746
23,relu, 0.3, random_normal, 0.0001, 1e-05, 1, Adam, l2, 128, 98.7986
24,relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 11.2144
25,relu, 0.3, random_normal, 0.0001, 1e-05, 4, SGD, l2, 128, 99.1645
26,relu, 0, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 11.5037
27,relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 11.183
28,relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 11.1794
29,relu, 0.3, random_normal, 0.001, 0.01, 1, Adamgrad, l2, 128, 85.0969
30,relu, 0.1, random_normal, 0.0001, 1e-05, 4, Adam, l2, 128, 99.1855
31,relu, 0, random_normal, 0.0001, 1e-05, 1, SGD, l2, 128, 52.6895
32,relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 11.4495
33,relu, 0.1, random_normal, 0.0001, 0.001, 1, Adamgrad, l2, 128, 98.7684
34,relu, 0.3, random_normal, 0.0001, 0.01, 1, RMSprop, l2, 128, 86.1921
35,relu, 0.3, random_normal, 0.001, 1e-05, 4, Adam, l2, 128, 99.4744
