activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, 0, random_uniform, 0.01, 0.0001, 1, Adamgrad, l2, 64, 27.5433
linear, 0.3, random_normal, 0.001, 0.001, 4, SGD, l2, 64, 99.5013
relu, 0, random_uniform, 0.001, 0.01, 4, SGD, l1, 32, 99.5014
linear, 0.3, random_normal, 0.001, 0.001, 1, Adamgrad, l1l2, 32, 98.7387
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l2, 128, 11.6902
linear, 0.7, random_uniform, 0.001, 0.0001, 1, SGD, l2, 128, 14.4091
linear, 0.7, random_uniform, 0.01, 1e-05, 1, Adamgrad, l1l2, 32, 99.4645
relu, 0.5, random_uniform, 0.001, 1e-05, 4, Adam, l1l2, 128, 99.5014
linear, 0, random_uniform, 0.001, 1e-05, 1, Adamgrad, l2, 64, 93.7726
linear, 0.1, random_normal, 0.01, 0.01, 4, SGD, l1l2, 128, 99.5008
linear, 0.1, random_normal, 0.01, 0.0001, 2, Adam, l1l2, 64, 99.5008
linear, 0.5, random_normal, 0.0001, 0.01, 4, Adamgrad, l1l2, 128, 99.0779
relu, 0.7, random_uniform, 0.001, 0.0001, 1, SGD, l1l2, 128, 99.2338
linear, 0, random_uniform, 0.01, 0.001, 2, Adamgrad, l1l2, 64, 99.5014
relu, 0.1, random_normal, 0.0001, 0.0001, 1, Adamgrad, l2, 64, 99.0828
relu, 0.5, random_normal, 0.0001, 1e-05, 1, Adamgrad, l2, 64, 98.7031
relu, 0.1, random_normal, 0.001, 0.001, 1, Adamgrad, l1l2, 64, 96.9695
relu, 0.1, random_normal, 0.001, 0.001, 2, RMSprop, l1l2, 32, 99.4996
relu, 0.1, random_uniform, 0.001, 0.01, 1, Adam, l2, 32, 99.2817
relu, 0.3, random_normal, 0.0001, 1e-05, 2, Adamgrad, l1l2, 128, 99.4409
linear, 0.7, random_uniform, 0.0001, 0.0001, 2, RMSprop, l1, 128, 26.5335
linear, 0.7, random_uniform, 0.0001, 1e-05, 2, RMSprop, l2, 128, 15.1609
linear, 0.3, random_uniform, 0.0001, 0.0001, 2, RMSprop, l2, 128, 13.7449
linear, 0.3, random_normal, 0.0001, 0.0001, 2, RMSprop, l2, 128, 11.5014
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.6529
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.5323
linear, 0.3, random_normal, 0.0001, 0.0001, 2, RMSprop, l1, 128, 11.8095
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.4191
linear, 0.3, random_normal, 0.0001, 0.0001, 2, RMSprop, l1, 128, 12.0023
linear, 0.3, random_normal, 0.0001, 0.0001, 2, RMSprop, l1, 128, 12.2132
linear, 0.3, random_normal, 0.0001, 0.01, 2, RMSprop, l1, 128, 99.5014
linear, 0, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.6276
linear, 0.3, random_normal, 0.01, 0.0001, 4, Adam, l2, 32, 99.499
linear, 0.3, random_normal, 0.0001, 0.001, 2, RMSprop, l1, 128, 99.5008
linear, 0.5, random_normal, 0.0001, 1e-05, 4, SGD, l2, 32, 99.5002
linear, 0.3, random_normal, 0.0001, 0.0001, 2, RMSprop, l1, 128, 12.0149
linear, 0, random_normal, 0.01, 0.01, 2, RMSprop, l2, 128, 96.8259
linear, 0.3, random_normal, 0.0001, 1e-05, 2, Adam, l2, 32, 99.3769
linear, 0.3, random_normal, 0.0001, 0.001, 4, SGD, l1, 128, 98.9187
linear, 0.5, random_normal, 0.01, 1e-05, 2, RMSprop, l2, 128, 86.6826
linear, 0, random_normal, 0.0001, 0.0001, 4, Adam, l1, 64, 99.3757
linear, 0.7, random_normal, 0.01, 0.01, 2, SGD, l2, 32, 99.4978
relu, 0.3, random_normal, 0.001, 1e-05, 2, RMSprop, l1, 128, 12.2189
linear, 0.3, random_uniform, 0.0001, 0.0001, 4, RMSprop, l2, 128, 49.3002
linear, 0.5, random_normal, 0.0001, 0.001, 1, SGD, l2, 64, 72.3468
relu, 0.7, random_normal, 0.001, 1e-05, 2, Adam, l1, 128, 98.588
linear, 0, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 64, 20.3277
linear, 0.1, random_normal, 0.0001, 0.01, 1, RMSprop, l1, 32, 99.4996
relu, 0.3, random_normal, 0.001, 1e-05, 4, Adamgrad, l1l2, 128, 99.3771
linear, 0.5, random_uniform, 0.0001, 0.001, 2, SGD, l2, 128, 98.5697
relu, 0.3, random_normal, 0.01, 0.0001, 1, RMSprop, l1l2, 64, 99.5014
linear, 0.1, random_normal, 0.0001, 1e-05, 2, Adam, l2, 128, 98.5826
linear, 0.7, random_uniform, 0.001, 0.0001, 2, Adamgrad, l1, 32, 99.4144
relu, 0.3, random_normal, 0.0001, 0.01, 1, RMSprop, l1l2, 128, 99.5014
linear, 0, random_normal, 0.0001, 1e-05, 2, RMSprop, l2, 64, 13.3521
linear, 0.1, random_uniform, 0.001, 0.001, 4, Adamgrad, l1, 128, 99.5008
relu, 0.3, random_normal, 0.0001, 0.0001, 2, SGD, l2, 128, 96.9363
linear, 0.5, random_normal, 0.01, 1e-05, 1, RMSprop, l1l2, 128, 92.8587
linear, 0.7, random_uniform, 0.0001, 0.0001, 2, Adam, l1, 32, 98.22
linear, 0.3, random_normal, 0.0001, 0.01, 2, RMSprop, l2, 64, 99.499
relu, 0.3, random_normal, 0.0001, 1e-05, 2, Adamgrad, l1, 128, 99.0412
linear, 0.1, random_normal, 0.001, 0.0001, 4, RMSprop, l1l2, 128, 99.5008
linear, 0, random_uniform, 0.0001, 0.001, 1, RMSprop, l1, 128, 99.5008
linear, 0.3, random_normal, 0.01, 1e-05, 2, SGD, l2, 32, 16.4097
relu, 0.3, random_normal, 0.0001, 0.0001, 2, RMSprop, l1, 128, 13.0769
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.2639
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.3973
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.7077
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.6415
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.3354
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.6399
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.2201
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.3762
linear, 0.7, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 12.4516
linear, 0.5, random_normal, 0.0001, 1e-05, 2, Adam, l1, 128, 98.6239
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.6119
linear, 0.3, random_normal, 0.0001, 1e-05, 2, Adamgrad, l1, 64, 98.887
linear, 0, random_normal, 0.001, 1e-05, 4, RMSprop, l1, 128, 12.8368
linear, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 11.1444
linear, 0.1, random_uniform, 0.01, 1e-05, 1, RMSprop, l1, 32, 15.4301
