tentativa,activation, init, lr, lr_reg, opt, reg, units1, loss
0,relu, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 20.3823
1,relu, random_uniform, 0.001, 0.001, SGD, l1, 64, 50.7713
2,relu, random_normal, 0.01, 0.0001, SGD, l1, 32, 11.9659
3,relu, random_normal, 0.001, 0.0001, SGD, l1, 64, 13.053
4,relu, random_normal, 0.0001, 0.0001, RMSprop, l1l2, 128, 13.7374
5,linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 32, 22.4976
6,linear, random_normal, 0.01, 0.0001, Adamgrad, l1l2, 128, 15.4713
7,relu, random_uniform, 0.001, 0.001, SGD, l1, 64, 58.613
8,relu, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.9392
9,relu, random_normal, 0.01, 0.01, RMSprop, l2, 64, 38.5994
10,linear, random_normal, 0.01, 0.01, RMSprop, l2, 64, 25.4791
11,linear, random_uniform, 0.001, 0.001, Adam, l1l2, 32, 89.3737
12,relu, random_uniform, 0.0001, 0.001, Adamgrad, l1, 64, 98.5417
13,relu, random_uniform, 0.001, 1e-05, Adam, l1l2, 64, 90.5839
14,linear, random_normal, 0.001, 0.01, Adamgrad, l1l2, 32, 97.9462
15,relu, random_uniform, 0.01, 1e-05, Adam, l2, 64, 14.3306
16,relu, random_normal, 0.0001, 1e-05, SGD, l1l2, 32, 92.6305
17,linear, random_uniform, 0.001, 0.01, Adamgrad, l1l2, 32, 99.4778
18,relu, random_uniform, 0.01, 1e-05, Adam, l1, 64, 13.7707
19,relu, random_uniform, 0.01, 0.001, Adam, l1, 64, 46.094
20,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.6212
21,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.6352
22,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.4026
23,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.1662
24,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.3363
25,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.5838
26,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.556
27,relu, random_normal, 0.0001, 0.0001, SGD, l2, 128, 41.9511
28,relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.3031
29,linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.3973
30,linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.6781
31,linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.771
32,linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.6488
33,linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.6208
34,linear, random_normal, 0.0001, 0.01, RMSprop, l2, 128, 11.7874
35,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.9956
36,linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8576
37,linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 32, 11.3198
38,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6336
39,linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.7622
40,linear, random_normal, 0.0001, 0.01, RMSprop, l2, 128, 11.6596
41,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 32, 11.626
42,linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.935
43,linear, random_normal, 0.001, 0.0001, Adamgrad, l2, 128, 32.1097
44,linear, random_uniform, 0.0001, 0.001, RMSprop, l2, 32, 11.4544
45,linear, random_normal, 0.0001, 0.01, RMSprop, l1l2, 64, 99.5026
46,linear, random_uniform, 0.001, 1e-05, Adamgrad, l2, 128, 49.3644
47,linear, random_normal, 0.0001, 0.0001, Adam, l1, 32, 99.1864
48,linear, random_uniform, 0.0001, 0.01, RMSprop, l1l2, 64, 99.5012
49,linear, random_normal, 0.001, 0.001, RMSprop, l2, 128, 12.9805
50,linear, random_normal, 0.0001, 1e-05, Adamgrad, l1, 128, 99.1988
51,linear, random_uniform, 0.0001, 0.0001, Adam, l1l2, 64, 99.2904
52,linear, random_normal, 0.001, 0.0001, RMSprop, l2, 32, 10.7954
53,linear, random_normal, 0.0001, 0.0001, Adam, l2, 128, 99.2174
54,linear, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 64, 99.0062
55,linear, random_normal, 0.001, 0.001, RMSprop, l1l2, 128, 18.7846
56,linear, random_normal, 0.0001, 0.01, RMSprop, l1, 32, 99.502
57,linear, random_uniform, 0.0001, 0.0001, Adam, l2, 128, 98.2444
58,linear, random_normal, 0.001, 0.0001, RMSprop, l2, 128, 10.9265
59,linear, random_normal, 0.0001, 1e-05, Adamgrad, l2, 64, 98.9216
60,linear, random_normal, 0.0001, 0.0001, RMSprop, l1l2, 128, 12.0357
61,linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 128, 11.3624
62,linear, random_normal, 0.001, 0.0001, Adam, l1, 32, 75.979
63,relu, random_normal, 0.0001, 0.001, Adamgrad, l2, 128, 98.6495
64,linear, random_normal, 0.01, 0.0001, RMSprop, l2, 64, 15.4929
65,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8716
66,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6803
67,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6704
68,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8439
69,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6631
70,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8427
71,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.7184
72,linear, random_normal, 0.0001, 0.0001, SGD, l1, 128, 32.7526
73,linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8133
74,relu, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 11.2144
