tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,relu,0.3,random_uniform,0.01,0.001,2,Adamgrad,l1,64,99.4989
1,relu,0.7,random_uniform,0.01,0.00001,2,SGD,l2,128,93.639
2,linear,0,random_normal,0.0001,0.001,4,SGD,l1,64,99.4524
3,relu,0.1,random_normal,0.001,0.0001,1,Adam,l1,128,65.6917
4,linear,0.7,random_normal,0.01,0.01,4,Adam,l1,64,99.4989
5,linear,0,random_normal,0.001,0.0001,1,Adam,l1l2,128,47.4499
6,relu,0.3,random_normal,0.01,0.001,4,SGD,l1l2,32,99.4989
7,linear,0.1,random_normal,0.0001,0.001,1,Adamgrad,l1,64,98.3094
8,linear,0,random_normal,0.01,0.01,4,Adam,l2,32,99.4989
9,relu,0.3,random_uniform,0.001,0.00001,4,RMSprop,l2,32,84.7336
10,relu,0.5,random_uniform,0.0001,0.0001,2,Adamgrad,l1l2,64,99.3389
11,relu,0.3,random_normal,0.001,0.0001,4,RMSprop,l2,32,87.3902
12,relu,0.5,random_normal,0.01,0.001,4,SGD,l1l2,128,99.4989
13,linear,0.1,random_normal,0.01,0.001,2,SGD,l2,128,14.3933
14,linear,0.3,random_normal,0.0001,0.001,2,SGD,l1,128,71.6316
15,linear,0,random_uniform,0.001,0.01,4,SGD,l1,128,99.4989
16,linear,0.1,random_normal,0.001,0.001,4,RMSprop,l1,32,99.4989
17,linear,0.5,random_uniform,0.0001,0.0001,2,Adam,l1,128,99.0063
18,linear,0.1,random_normal,0.01,0.001,4,Adamgrad,l1,64,99.4989
19,relu,0.7,random_uniform,0.001,0.0001,4,Adamgrad,l1l2,128,99.4989
20,linear,0,random_normal,0.001,0.00001,1,Adam,l2,128,32.3078
21,linear,0,random_normal,0.001,0.00001,1,Adam,l2,128,32.2901
22,linear,0.1,random_normal,0.01,0.00001,1,Adam,l2,128,12.2432
23,linear,0.1,random_normal,0.01,0.00001,1,SGD,l2,128,11.7338
24,linear,0.1,random_normal,0.01,0.00001,1,Adam,l2,128,12.3356
25,linear,0.1,random_normal,0.01,0.00001,1,RMSprop,l2,128,18.0635
26,linear,0.1,random_normal,0.01,0.00001,1,SGD,l2,128,12.0642
27,linear,0.1,random_normal,0.01,0.00001,1,SGD,l2,128,12.594
28,linear,0.1,random_normal,0.01,0.00001,1,SGD,l2,128,12.2792
29,linear,0.1,random_normal,0.01,0.00001,1,SGD,l2,128,12.0248
30,linear,0.7,random_uniform,0.01,0.00001,1,SGD,l2,128,12.0814
31,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,11.6074
32,linear,0.5,random_uniform,0.01,0.01,1,SGD,l2,64,99.4983
33,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,12.2566
34,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,12.1306
35,relu,0.5,random_normal,0.0001,0.01,2,SGD,l1l2,64,99.4989
36,linear,0.7,random_normal,0.01,0.00001,1,Adamgrad,l2,64,14.4203
37,linear,0.5,random_normal,0.0001,0.00001,1,RMSprop,l1l2,64,80.7726
38,relu,0.5,random_uniform,0.01,0.01,1,SGD,l2,64,99.5013
39,linear,0.3,random_normal,0.01,0.00001,2,SGD,l2,32,15.3941
40,linear,0.7,random_normal,0.01,0.0001,1,Adamgrad,l1l2,64,90.5472
41,relu,0.5,random_normal,0.0001,0.00001,1,RMSprop,l2,32,23.3893
42,linear,0.3,random_uniform,0.01,0.01,1,SGD,l2,64,99.4995
43,relu,0,random_normal,0.01,0.00001,2,SGD,l1,64,14.2901
44,linear,0.5,random_normal,0.0001,0.0001,1,SGD,l1l2,32,97.1248
45,linear,0.7,random_normal,0.01,0.00001,2,Adamgrad,l2,64,48.3182
46,relu,0.3,random_uniform,0.001,0.001,1,RMSprop,l1,32,99.4989
47,linear,0.1,random_normal,0.01,0.01,4,SGD,l2,64,99.4995
48,linear,0.5,random_normal,0.0001,0.0001,1,SGD,l1l2,32,98.0425
49,relu,0,random_uniform,0.01,0.001,2,Adamgrad,l2,64,99.4989
