tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0.5,random_normal,0.01,0.00001,4,Adam,l1l2,128,96.2073
1,relu,0.1,random_uniform,0.0001,0.01,4,SGD,l1l2,32,96.2073
2,relu,0,random_uniform,0.001,0.0001,2,RMSprop,l2,32,38.5882
3,linear,0.7,random_normal,0.01,0.001,4,Adamgrad,l1,64,96.2073
4,relu,0,random_normal,0.0001,0.01,1,RMSprop,l1l2,128,96.2073
5,linear,0.3,random_uniform,0.01,0.0001,4,Adam,l1,32,96.2073
6,relu,0,random_uniform,0.01,0.01,2,Adamgrad,l1,32,96.2073
7,relu,0.1,random_uniform,0.0001,0.00001,4,RMSprop,l2,32,77.2172
8,relu,0.1,random_uniform,0.0001,0.001,1,RMSprop,l2,64,40.4969
9,linear,0.1,random_normal,0.0001,0.001,1,SGD,l1,32,96.2073
10,relu,0,random_normal,0.001,0.00001,2,SGD,l1,64,96.2029
11,relu,0.3,random_uniform,0.0001,0.00001,1,Adamgrad,l1,64,96.2073
12,relu,0,random_normal,0.0001,0.001,4,RMSprop,l1,32,96.2073
13,linear,0.7,random_uniform,0.0001,0.00001,4,Adam,l1,128,96.2073
14,relu,0.7,random_normal,0.01,0.0001,2,Adamgrad,l1,128,96.2073
15,linear,0.1,random_normal,0.0001,0.01,1,SGD,l1,128,96.2073
16,relu,0.3,random_normal,0.001,0.0001,2,Adam,l1l2,128,96.2073
17,linear,0.5,random_normal,0.01,0.001,2,Adam,l1l2,128,96.2073
18,relu,0.1,random_uniform,0.001,0.0001,2,SGD,l2,64,96.2073
19,linear,0.5,random_uniform,0.01,0.00001,4,Adamgrad,l1,64,96.2073
20,relu,0,random_uniform,0.001,0.001,1,RMSprop,l2,64,40.5436
21,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,64,36.4931
22,relu,0,random_uniform,0.001,0.0001,1,RMSprop,l2,32,37.1323
23,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,32,35.7098
24,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,64,36.6909
25,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,32,36.8307
26,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,64,35.8303
27,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,64,36.7127
28,relu,0.5,random_uniform,0.001,0.0001,1,RMSprop,l2,32,41.1851
29,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,32,37.5846
30,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,64,35.1372
31,relu,0.7,random_uniform,0.001,0.01,1,RMSprop,l1l2,32,96.2073
32,relu,0.3,random_uniform,0.001,0.0001,1,Adam,l2,64,96.2073
33,relu,0.5,random_uniform,0.001,0.0001,1,RMSprop,l2,32,43.561
34,linear,0.1,random_uniform,0.001,0.01,1,SGD,l1l2,32,96.2073
35,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l2,64,36.2273
36,relu,0.7,random_uniform,0.01,0.0001,4,Adamgrad,l2,32,96.2073
37,linear,0.3,random_uniform,0.001,0.01,1,RMSprop,l1l2,128,96.2073
38,relu,0.1,random_uniform,0.001,0.0001,4,Adam,l2,32,96.2073
39,relu,0.1,random_uniform,0.01,0.00001,1,RMSprop,l2,64,37.3338
40,relu,0.5,random_normal,0.001,0.001,2,SGD,l2,32,96.2073
41,linear,0.1,random_uniform,0.001,0.0001,1,Adamgrad,l2,64,96.2073
42,relu,0.3,random_uniform,0.0001,0.01,4,RMSprop,l1l2,32,96.2073
43,relu,0.7,random_normal,0.01,0.00001,1,RMSprop,l2,64,72.6866
44,linear,0.1,random_uniform,0.0001,0.001,2,Adamgrad,l2,128,96.2073
45,relu,0,random_normal,0.001,0.0001,1,Adam,l1l2,32,96.2073
46,relu,0.1,random_uniform,0.001,0.00001,1,SGD,l2,64,96.2053
47,relu,0.7,random_uniform,0.0001,0.0001,4,RMSprop,l1,128,81.0673
48,linear,0.3,random_normal,0.01,0.01,2,RMSprop,l2,32,96.2073
49,relu,0.1,random_uniform,0.001,0.001,1,Adam,l1,64,96.2073
50,relu,0,random_normal,0.0001,0.0001,4,SGD,l1l2,128,96.2073
51,linear,0.5,random_uniform,0.01,0.00001,2,Adamgrad,l2,64,96.2073
52,relu,0.1,random_uniform,0.001,0.0001,1,RMSprop,l1,32,39.0609
53,relu,0.1,random_uniform,0.001,0.001,1,RMSprop,l2,64,40.7797
