tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0,random_uniform,0.01,0.0001,1,Adamgrad,l2,64,27.5433
1,linear,0.3,random_normal,0.001,0.001,4,SGD,l2,64,99.5013
2,relu,0,random_uniform,0.001,0.01,4,SGD,l1,32,99.5014
3,linear,0.3,random_normal,0.001,0.001,1,Adamgrad,l1l2,32,98.7387
4,linear,0.3,random_normal,0.0001,0.00001,2,RMSprop,l2,128,11.6902
5,linear,0.7,random_uniform,0.001,0.0001,1,SGD,l2,128,14.4091
6,linear,0.7,random_uniform,0.01,0.00001,1,Adamgrad,l1l2,32,99.4645
7,relu,0.5,random_uniform,0.001,0.00001,4,Adam,l1l2,128,99.5014
8,linear,0,random_uniform,0.001,0.00001,1,Adamgrad,l2,64,93.7726
9,linear,0.1,random_normal,0.01,0.01,4,SGD,l1l2,128,99.5008
10,linear,0.1,random_normal,0.01,0.0001,2,Adam,l1l2,64,99.5008
11,linear,0.5,random_normal,0.0001,0.01,4,Adamgrad,l1l2,128,99.0779
12,relu,0.7,random_uniform,0.001,0.0001,1,SGD,l1l2,128,99.2338
13,linear,0,random_uniform,0.01,0.001,2,Adamgrad,l1l2,64,99.5014
14,relu,0.1,random_normal,0.0001,0.0001,1,Adamgrad,l2,64,99.0828
15,relu,0.5,random_normal,0.0001,0.00001,1,Adamgrad,l2,64,98.7031
16,relu,0.1,random_normal,0.001,0.001,1,Adamgrad,l1l2,64,96.9695
17,relu,0.1,random_normal,0.001,0.001,2,RMSprop,l1l2,32,99.4996
18,relu,0.1,random_uniform,0.001,0.01,1,Adam,l2,32,99.2817
19,relu,0.3,random_normal,0.0001,0.00001,2,Adamgrad,l1l2,128,99.4409
20,linear,0.7,random_uniform,0.0001,0.0001,2,RMSprop,l1,128,26.5335
21,linear,0.7,random_uniform,0.0001,0.00001,2,RMSprop,l2,128,15.1609
22,linear,0.3,random_uniform,0.0001,0.0001,2,RMSprop,l2,128,13.7449
23,linear,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,128,11.5014
24,linear,0.3,random_normal,0.0001,0.00001,2,RMSprop,l1,128,11.6529
25,linear,0.3,random_normal,0.0001,0.00001,2,RMSprop,l1,128,11.5323
26,linear,0.3,random_normal,0.0001,0.0001,2,RMSprop,l1,128,11.8095
