tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0,random_uniform,0.01,0.001,4,Adamgrad,l1,32,91.1063
1,relu,0.1,random_uniform,0.0001,0.0001,1,RMSprop,l1l2,32,91.1063
2,relu,0.7,random_normal,0.0001,0.01,2,Adamgrad,l1,128,91.1063
3,relu,0.1,random_normal,0.01,0.01,4,Adamgrad,l1l2,32,91.1063
4,linear,0.1,random_normal,0.001,0.01,2,RMSprop,l1l2,64,91.1063
5,relu,0.7,random_normal,0.01,0.001,4,Adam,l2,64,91.1063
6,linear,0.5,random_normal,0.01,0.0001,2,Adam,l1l2,128,80.0517
7,linear,0.7,random_uniform,0.01,0.00001,2,Adamgrad,l1,128,91.1063
8,linear,0.1,random_normal,0.0001,0.00001,2,SGD,l1l2,64,91.1063
9,linear,0,random_uniform,0.001,0.0001,2,Adam,l1,64,91.1063
10,linear,0.7,random_normal,0.001,0.00001,4,Adam,l1l2,32,91.1063
11,linear,0.3,random_normal,0.001,0.01,1,Adamgrad,l2,128,91.1063
12,linear,0.5,random_uniform,0.0001,0.001,4,Adamgrad,l1,128,91.1063
13,linear,0.1,random_uniform,0.001,0.0001,2,SGD,l2,32,91.1063
14,linear,0.1,random_normal,0.001,0.01,1,SGD,l1l2,64,91.1063
15,linear,0.1,random_uniform,0.0001,0.0001,4,Adam,l1,64,91.1063
16,relu,0.5,random_normal,0.01,0.001,1,Adam,l1,64,91.1063
17,linear,0.1,random_uniform,0.0001,0.01,1,Adam,l2,32,91.1063
18,linear,0.1,random_uniform,0.01,0.001,4,Adam,l1,32,91.1063
19,relu,0.5,random_uniform,0.0001,0.01,1,Adamgrad,l1,64,91.1063
20,linear,0,random_uniform,0.01,0.0001,4,RMSprop,l1l2,128,91.1063
21,linear,0,random_normal,0.01,0.001,2,Adamgrad,l1l2,128,91.1063
22,linear,0.5,random_normal,0.01,0.001,4,Adamgrad,l1,128,91.1063
23,linear,0,random_uniform,0.01,0.0001,2,SGD,l1l2,32,91.1063
24,linear,0.3,random_uniform,0.01,0.001,4,Adam,l2,32,91.1063
25,linear,0,random_normal,0.01,0.0001,2,RMSprop,l1,128,84.2754
26,linear,0.5,random_normal,0.01,0.0001,2,RMSprop,l1l2,128,89.2265
27,linear,0,random_normal,0.01,0.0001,2,RMSprop,l1,128,78.0685
28,linear,0.5,random_normal,0.01,0.0001,2,RMSprop,l1l2,128,85.2606
29,relu,0.3,random_normal,0.01,0.0001,2,RMSprop,l1,128,45.1529
30,relu,0.3,random_normal,0.01,0.0001,2,RMSprop,l1,128,47.2321
31,relu,0.3,random_normal,0.01,0.0001,2,RMSprop,l1,128,46.143
32,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,128,43.5117
33,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,128,45.1046
34,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,128,43.4225
35,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,128,42.8911
36,relu,0.3,random_normal,0.0001,0.00001,2,RMSprop,l1,128,48.8362
37,relu,0.3,random_normal,0.001,0.00001,2,RMSprop,l2,128,34.3024
38,relu,0.3,random_normal,0.001,0.00001,1,RMSprop,l2,128,32.7088
39,relu,0.7,random_normal,0.001,0.00001,1,SGD,l2,128,91.1063
40,relu,0.3,random_normal,0.001,0.00001,1,RMSprop,l2,128,33.3532
41,relu,0.7,random_normal,0.001,0.00001,1,RMSprop,l2,128,37.5258
42,relu,0.3,random_normal,0.001,0.00001,1,RMSprop,l2,64,34.8613
43,relu,0.3,random_normal,0.001,0.00001,1,SGD,l2,32,91.1063
44,relu,0.7,random_normal,0.001,0.00001,1,RMSprop,l2,128,37.914
45,relu,0.3,random_normal,0.001,0.00001,1,SGD,l2,64,91.1063
46,relu,0.3,random_normal,0.001,0.00001,1,Adamgrad,l2,128,91.1063
47,relu,0.3,random_normal,0.001,0.01,1,RMSprop,l2,32,59.6755
48,relu,0.7,random_normal,0.001,0.00001,1,RMSprop,l2,64,53.2195
49,relu,0.3,random_uniform,0.001,0.00001,1,Adam,l2,128,91.1063
50,relu,0.1,random_normal,0.001,0.01,1,Adamgrad,l2,128,91.1063
51,relu,0.3,random_uniform,0.001,0.00001,1,SGD,l2,32,91.1063
52,relu,0.1,random_normal,0.0001,0.001,1,RMSprop,l2,64,57.7088
