tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0.5,random_uniform,0.001,0.01,2,Adam,l2,32,96.2072
1,relu,0.7,random_normal,0.0001,0.0001,4,SGD,l1l2,128,96.2072
2,relu,0.5,random_normal,0.0001,0.01,4,RMSprop,l1,64,96.2072
3,linear,0.1,random_uniform,0.001,0.00001,2,Adamgrad,l1,32,96.2072
4,relu,0.7,random_normal,0.01,0.001,1,RMSprop,l1,128,91.6772
5,linear,0.7,random_uniform,0.001,0.01,4,Adamgrad,l1,32,96.2072
6,relu,0.5,random_uniform,0.01,0.01,4,RMSprop,l1,64,96.2072
7,relu,0.3,random_normal,0.01,0.0001,1,SGD,l2,64,42.1718
8,linear,0,random_uniform,0.01,0.01,1,Adam,l2,64,96.2072
9,linear,0,random_uniform,0.001,0.001,1,SGD,l2,64,55.3926
10,linear,0.1,random_normal,0.001,0.001,1,SGD,l1l2,128,96.2072
11,relu,0.3,random_normal,0.0001,0.001,1,SGD,l1,32,96.2072
12,linear,0.5,random_normal,0.0001,0.0001,2,RMSprop,l1,64,41.7895
13,linear,0.3,random_normal,0.01,0.0001,1,RMSprop,l1,32,46.8274
14,relu,0.7,random_uniform,0.0001,0.01,2,SGD,l2,128,96.2072
15,linear,0.1,random_normal,0.01,0.00001,2,Adamgrad,l1l2,64,96.2072
16,linear,0.7,random_normal,0.001,0.001,4,Adam,l2,128,96.2072
17,linear,0.7,random_normal,0.01,0.00001,2,SGD,l1l2,64,96.2072
18,linear,0,random_normal,0.0001,0.0001,4,SGD,l2,64,96.2072
19,relu,0.3,random_uniform,0.01,0.0001,1,RMSprop,l1l2,128,91.4747
20,relu,0.5,random_normal,0.0001,0.0001,2,RMSprop,l2,64,43.9461
21,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,40.4698
22,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l1,64,42.952
23,relu,0.5,random_normal,0.0001,0.0001,2,RMSprop,l1,64,55.5519
24,linear,0.5,random_normal,0.0001,0.0001,2,RMSprop,l2,64,41.6614
25,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,41.9319
26,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.9488
27,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,41.3747
28,relu,0.3,random_normal,0.0001,0.00001,2,Adam,l2,32,96.2072
29,relu,0.3,random_normal,0.0001,0.0001,2,Adamgrad,l2,64,96.2072
30,relu,0.3,random_normal,0.0001,0.0001,2,Adam,l2,64,96.2072
31,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,40.571
