tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0.3,random_normal,0.0001,0.0001,1,Adamgrad,l1l2,32,98.359
1,linear,0.3,random_uniform,0.001,0.001,1,Adamgrad,l2,128,90.1549
2,relu,0.5,random_normal,0.001,0.01,1,Adam,l1,128,99.0569
3,relu,0.7,random_uniform,0.001,0.001,2,RMSprop,l1l2,128,99.5016
4,relu,0.1,random_uniform,0.001,0.01,4,Adamgrad,l2,64,99.5004
5,relu,0,random_uniform,0.0001,0.00001,4,SGD,l2,32,99.5004
6,linear,0.7,random_uniform,0.0001,0.001,1,Adamgrad,l1,32,99.1921
7,linear,0.7,random_normal,0.01,0.00001,2,Adam,l1l2,64,99.1017
8,linear,0.1,random_uniform,0.001,0.00001,4,RMSprop,l2,64,22.3814
9,linear,0.5,random_uniform,0.0001,0.0001,2,Adam,l1l2,128,99.4692
10,linear,0.3,random_normal,0.001,0.00001,4,RMSprop,l2,128,13.5158
11,linear,0.1,random_normal,0.01,0.001,4,SGD,l1l2,128,99.5022
12,relu,0.7,random_uniform,0.001,0.0001,2,SGD,l1,32,99.5004
13,linear,0.3,random_normal,0.001,0.01,4,RMSprop,l2,64,99.5004
14,linear,0.1,random_uniform,0.001,0.0001,2,SGD,l2,128,80.9484
15,relu,0.1,random_normal,0.0001,0.00001,4,Adam,l1,64,99.5054
16,relu,0,random_uniform,0.0001,0.001,2,RMSprop,l2,128,23.1729
17,relu,0,random_uniform,0.001,0.01,4,Adam,l2,128,99.5016
18,linear,0.5,random_uniform,0.0001,0.00001,4,Adam,l2,32,99.5004
19,relu,0.3,random_uniform,0.001,0.01,4,SGD,l1l2,32,99.5004
20,linear,0.3,random_normal,0.01,0.00001,4,RMSprop,l2,64,25.4961
21,linear,0.1,random_normal,0.001,0.00001,4,RMSprop,l2,64,18.3965
22,linear,0.3,random_normal,0.001,0.00001,4,RMSprop,l2,64,18.5916
23,linear,0.1,random_normal,0.01,0.00001,4,RMSprop,l2,64,25.0348
24,linear,0.1,random_normal,0.001,0.00001,4,RMSprop,l2,64,17.3795
25,linear,0.3,random_normal,0.001,0.00001,4,RMSprop,l2,128,13.2563
26,linear,0.3,random_normal,0.001,0.00001,1,RMSprop,l1,128,11.1765
27,linear,0.3,random_normal,0.01,0.00001,1,RMSprop,l1,128,31.8475
28,linear,0.3,random_normal,0.001,0.0001,1,RMSprop,l1,128,11.6514
29,linear,0.3,random_normal,0.001,0.0001,1,Adamgrad,l1,128,35.1857
30,linear,0.3,random_normal,0.001,0.0001,1,RMSprop,l1,128,11.6957
31,linear,0.3,random_normal,0.001,0.0001,1,Adamgrad,l1,128,33.8608
32,linear,0.5,random_normal,0.001,0.0001,1,RMSprop,l1,128,11.3845
33,linear,0.5,random_normal,0.01,0.0001,1,RMSprop,l1,128,18.213
34,linear,0.5,random_normal,0.001,0.0001,1,Adamgrad,l1,128,35.2226
35,linear,0.5,random_normal,0.001,0.001,1,RMSprop,l1,128,99.5004
36,relu,0.5,random_normal,0.0001,0.01,1,Adamgrad,l1,32,99.0538
37,linear,0,random_normal,0.001,0.0001,1,RMSprop,l1,128,11.3192
38,linear,0,random_normal,0.001,0.001,1,SGD,l1,128,67.1574
39,linear,0,random_normal,0.01,0.0001,1,RMSprop,l1l2,32,99.4915
40,relu,0,random_normal,0.0001,0.01,1,Adam,l1,128,98.875
41,linear,0,random_normal,0.001,0.001,1,RMSprop,l1,128,95.8883
42,linear,0.7,random_normal,0.001,0.0001,1,Adamgrad,l1l2,128,45.4505
