tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0.1,random_normal,0.0001,0.0001,1,Adam,l1,32,96.1958
1,relu,0,random_normal,0.001,0.01,4,RMSprop,l1,32,96.2076
2,relu,0,random_uniform,0.0001,0.001,1,SGD,l2,128,96.2076
3,relu,0.5,random_normal,0.01,0.0001,2,SGD,l1,128,43.6726
4,relu,0,random_uniform,0.001,0.0001,4,Adamgrad,l1l2,128,96.2076
5,linear,0.1,random_uniform,0.01,0.001,4,RMSprop,l1,32,96.2076
6,relu,0.1,random_uniform,0.001,0.00001,2,SGD,l1l2,64,96.2076
7,relu,0,random_uniform,0.0001,0.001,2,Adam,l1l2,64,96.2076
8,linear,0,random_uniform,0.001,0.001,1,SGD,l2,64,45.3859
9,linear,0.3,random_uniform,0.0001,0.001,4,Adamgrad,l1l2,128,96.2076
10,linear,0,random_normal,0.01,0.01,4,Adam,l1l2,32,96.2076
11,linear,0.1,random_normal,0.001,0.01,4,SGD,l2,128,96.2076
12,relu,0.1,random_uniform,0.0001,0.00001,4,Adamgrad,l2,128,96.2076
13,linear,0.1,random_normal,0.01,0.01,2,SGD,l1,64,96.2076
14,relu,0.7,random_normal,0.0001,0.00001,1,Adamgrad,l2,128,96.2076
15,relu,0.7,random_uniform,0.01,0.01,2,RMSprop,l1,128,96.2076
16,linear,0.7,random_uniform,0.0001,0.01,2,Adamgrad,l1l2,32,96.2076
17,relu,0,random_uniform,0.01,0.01,2,Adamgrad,l1,64,96.2076
18,linear,0.5,random_uniform,0.01,0.01,1,SGD,l1l2,32,96.2076
19,relu,0,random_normal,0.001,0.001,4,SGD,l1,128,96.2076
20,linear,0.5,random_normal,0.001,0.0001,1,SGD,l2,64,40.93
21,linear,0.5,random_normal,0.01,0.0001,1,SGD,l2,64,36.7369
22,linear,0.5,random_normal,0.001,0.0001,1,SGD,l2,64,41.0198
23,linear,0.5,random_normal,0.001,0.0001,1,SGD,l2,64,41.0385
24,linear,0.5,random_normal,0.01,0.0001,1,SGD,l2,64,37.1644
25,linear,0.3,random_normal,0.01,0.0001,1,Adam,l2,64,42.9969
26,linear,0.5,random_normal,0.01,0.0001,1,RMSprop,l2,64,53.8427
27,linear,0.5,random_normal,0.01,0.0001,1,SGD,l2,64,36.3855
28,linear,0.5,random_normal,0.01,0.0001,1,Adam,l2,64,41.9592
29,linear,0.5,random_normal,0.01,0.0001,1,SGD,l2,64,37.2384
30,linear,0.3,random_normal,0.01,0.0001,1,RMSprop,l2,64,57.9316
31,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,36.4111
32,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,32,39.1574
33,linear,0.5,random_normal,0.01,0.00001,1,SGD,l2,64,37.2647
34,linear,0.3,random_normal,0.01,0.00001,1,RMSprop,l2,64,47.7274
35,linear,0.7,random_normal,0.01,0.00001,1,Adam,l2,32,48.238
36,linear,0.5,random_normal,0.01,0.00001,1,SGD,l1,64,36.143
37,linear,0.5,random_normal,0.0001,0.00001,1,SGD,l1,64,96.2076
38,linear,0.5,random_normal,0.01,0.00001,2,RMSprop,l1,64,56.3711
39,relu,0.3,random_normal,0.01,0.001,1,Adam,l1,32,96.2076
40,linear,0.1,random_normal,0.0001,0.00001,4,SGD,l1,64,96.2076
41,linear,0.7,random_normal,0.01,0.001,1,SGD,l1,64,68.4006
42,relu,0.5,random_normal,0.01,0.00001,4,Adamgrad,l1,128,96.2076
43,linear,0.1,random_uniform,0.0001,0.0001,2,SGD,l1l2,64,96.2076
44,linear,0,random_normal,0.001,0.001,1,Adam,l1,32,96.2076
45,relu,0.5,random_normal,0.01,0.00001,4,SGD,l1l2,128,96.2076
46,linear,0.7,random_uniform,0.0001,0.0001,1,Adamgrad,l1,64,96.2076
47,linear,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,64,50.3487
48,relu,0.1,random_uniform,0.001,0.01,4,SGD,l1l2,128,96.2076
