tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0,random_normal,0.0001,0.001,4,RMSprop,l1,64,91.1091
1,relu,0.7,random_normal,0.0001,0.01,4,RMSprop,l1,128,91.1091
2,linear,0,random_normal,0.001,0.00001,1,SGD,l1l2,128,60.445
3,linear,0.7,random_normal,0.001,0.001,2,Adamgrad,l1,32,91.1091
4,relu,0.5,random_normal,0.0001,0.00001,4,Adam,l1l2,32,91.1091
5,relu,0.7,random_uniform,0.001,0.001,2,Adamgrad,l2,32,91.1091
6,relu,0.1,random_normal,0.0001,0.0001,1,Adamgrad,l1l2,32,91.1091
7,relu,0.3,random_normal,0.0001,0.00001,2,RMSprop,l1,128,44.4006
8,relu,0.1,random_uniform,0.001,0.0001,2,Adamgrad,l2,64,91.1091
9,relu,0,random_normal,0.0001,0.0001,1,Adamgrad,l1,64,91.1091
10,relu,0.1,random_uniform,0.0001,0.001,1,Adam,l1,64,91.1091
11,relu,0.5,random_normal,0.01,0.00001,2,RMSprop,l2,64,59.9185
12,relu,0.3,random_uniform,0.0001,0.001,4,SGD,l2,128,91.1091
13,relu,0.7,random_uniform,0.01,0.0001,4,Adam,l2,128,91.1091
14,linear,0.3,random_normal,0.01,0.00001,1,Adamgrad,l1,32,91.1091
15,relu,0.7,random_normal,0.001,0.001,4,SGD,l2,32,91.1091
16,relu,0.7,random_normal,0.001,0.00001,1,Adam,l1,128,91.1091
17,linear,0.3,random_normal,0.01,0.0001,4,SGD,l1l2,64,91.1091
18,linear,0.7,random_uniform,0.0001,0.00001,2,Adam,l2,32,91.1091
19,linear,0,random_normal,0.01,0.01,2,Adam,l2,64,91.1091
20,relu,0.5,random_normal,0.01,0.00001,2,RMSprop,l2,128,63.4849
21,relu,0.5,random_normal,0.01,0.00001,2,RMSprop,l1,64,60.3845
22,relu,0.5,random_normal,0.01,0.00001,2,RMSprop,l2,128,62.1394
23,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,64,47.3615
24,relu,0.3,random_normal,0.0001,0.01,2,RMSprop,l1,128,91.1091
25,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,128,49.5081
26,relu,0.3,random_normal,0.0001,0.00001,2,RMSprop,l1,64,57.325
27,relu,0.3,random_normal,0.01,0.00001,2,RMSprop,l1,64,51.2942
28,relu,0.3,random_normal,0.0001,0.01,2,RMSprop,l1,128,91.1091
29,relu,0.3,random_uniform,0.01,0.00001,2,RMSprop,l1,64,43.9231
30,linear,0.3,random_uniform,0.0001,0.01,2,RMSprop,l1,128,91.1091
31,relu,0.3,random_uniform,0.0001,0.00001,2,RMSprop,l1l2,128,79.1284
