tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,relu,0.3,random_normal,0.001,0.00001,2,RMSprop,l1,32,41.1705
1,linear,0.7,random_uniform,0.01,0.01,1,Adamgrad,l2,32,96.2079
2,relu,0.1,random_uniform,0.01,0.01,2,RMSprop,l2,32,96.2079
3,relu,0,random_normal,0.01,0.0001,1,SGD,l1l2,32,87.2172
4,relu,0,random_normal,0.001,0.001,1,SGD,l2,128,41.6112
5,linear,0.7,random_normal,0.001,0.001,1,Adam,l2,32,96.2079
6,linear,0.5,random_normal,0.01,0.001,1,Adamgrad,l1,128,62.508
7,linear,0.7,random_normal,0.0001,0.001,4,SGD,l1,64,96.2079
8,linear,0.5,random_uniform,0.001,0.00001,4,RMSprop,l1,64,59.0601
9,linear,0.7,random_normal,0.001,0.00001,1,Adam,l1l2,64,96.2079
10,linear,0,random_normal,0.01,0.01,2,RMSprop,l1,32,96.2079
11,linear,0,random_normal,0.001,0.01,1,Adamgrad,l1l2,64,96.2079
12,relu,0.3,random_uniform,0.0001,0.00001,1,RMSprop,l1,64,39.6948
13,linear,0.3,random_normal,0.01,0.01,1,SGD,l1,128,96.2079
14,linear,0.1,random_normal,0.0001,0.01,4,Adamgrad,l1l2,64,96.2079
15,linear,0.7,random_uniform,0.01,0.0001,2,Adam,l1,128,94.1057
16,linear,0.1,random_normal,0.01,0.001,2,Adamgrad,l2,32,95.5621
17,relu,0.3,random_normal,0.001,0.01,1,RMSprop,l1l2,32,96.2079
18,linear,0.1,random_normal,0.01,0.001,2,Adam,l2,128,42.5059
19,linear,0.3,random_uniform,0.0001,0.00001,1,SGD,l1,64,96.2079
20,relu,0.3,random_uniform,0.0001,0.00001,2,RMSprop,l1,64,48.0792
21,relu,0.3,random_uniform,0.0001,0.00001,2,RMSprop,l1,32,73.4283
22,relu,0.3,random_uniform,0.0001,0.00001,4,RMSprop,l1,64,77.2557
23,relu,0.3,random_uniform,0.0001,0.00001,2,RMSprop,l1,64,48.5081
24,relu,0.3,random_uniform,0.001,0.00001,2,RMSprop,l1,32,42.9986
25,relu,0.5,random_uniform,0.001,0.0001,4,RMSprop,l1,32,83.4516
26,relu,0.3,random_uniform,0.0001,0.00001,2,RMSprop,l1,64,44.9956
27,relu,0.3,random_uniform,0.0001,0.00001,2,RMSprop,l1,64,49.9618
28,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.5285
29,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.189
30,relu,0.5,random_uniform,0.001,0.0001,1,RMSprop,l1,32,42.0809
31,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1l2,32,89.7418
32,relu,0.3,random_uniform,0.001,0.00001,1,Adam,l2,32,96.2079
33,relu,0,random_uniform,0.001,0.0001,1,RMSprop,l1,32,39.2208
34,relu,0,random_uniform,0.001,0.0001,1,Adamgrad,l2,32,96.2079
35,relu,0,random_uniform,0.001,0.0001,1,SGD,l1,32,96.2079
36,relu,0,random_uniform,0.001,0.0001,1,RMSprop,l1l2,32,79.8871
37,relu,0,random_uniform,0.001,0.0001,1,Adam,l2,32,96.2079
38,relu,0,random_uniform,0.001,0.0001,4,SGD,l1,128,96.2079
39,relu,0.7,random_uniform,0.001,0.0001,1,RMSprop,l1,32,59.8134
40,relu,0.1,random_uniform,0.001,0.001,1,Adamgrad,l1,32,96.2079
41,relu,0,random_uniform,0.001,0.0001,1,RMSprop,l1l2,128,69.365
42,relu,0.5,random_uniform,0.001,0.0001,1,SGD,l2,32,96.2079
43,relu,0,random_uniform,0.01,0.01,4,Adam,l1,32,96.2079
44,relu,0.7,random_uniform,0.001,0.001,1,RMSprop,l1,128,96.2079
45,relu,0.5,random_normal,0.001,0.0001,1,Adamgrad,l1l2,32,96.2079
46,relu,0,random_uniform,0.01,0.01,4,RMSprop,l1,32,96.2079
47,linear,0.1,random_normal,0.001,0.001,1,SGD,l2,32,44.0182
48,relu,0.7,random_uniform,0.001,0.0001,1,Adam,l1,128,96.2079
49,linear,0,random_normal,0.01,0.01,1,Adamgrad,l1l2,32,96.2079
50,relu,0.1,random_uniform,0.001,0.00001,4,RMSprop,l1,32,70.9141
51,linear,0,random_uniform,0.01,0.001,1,RMSprop,l1,128,54.8641
52,relu,0.7,random_normal,0.001,0.00001,1,RMSprop,l2,32,56.6538
53,relu,0.5,random_uniform,0.001,0.01,1,SGD,l1,32,96.2079
54,linear,0.1,random_uniform,0.01,0.0001,4,Adam,l1l2,128,96.2079
55,relu,0,random_normal,0.0001,0.00001,1,Adamgrad,l1,32,96.2079
56,relu,0.3,random_uniform,0.001,0.001,2,RMSprop,l1,64,94.9038
57,linear,0.7,random_uniform,0.001,0.00001,1,RMSprop,l1,32,41.1268
58,relu,0.3,random_normal,0.0001,0.0001,4,RMSprop,l2,64,60.7
59,relu,0.5,random_uniform,0.001,0.01,2,RMSprop,l1,32,96.2079
60,linear,0.3,random_uniform,0.01,0.00001,1,Adam,l1l2,128,96.1797
61,relu,0,random_uniform,0.0001,0.0001,1,SGD,l1,32,96.2079
62,relu,0.1,random_normal,0.001,0.00001,2,Adamgrad,l1,64,96.2079
63,relu,0.3,random_uniform,0.001,0.001,1,RMSprop,l2,32,41.2178
64,linear,0,random_uniform,0.001,0.00001,4,RMSprop,l1,32,73.4296
65,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.0448
66,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.8397
67,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.4495
68,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.0539
69,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.5313
70,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.1937
71,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.41
72,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,39.1154
73,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l1,32,38.5955
74,relu,0.3,random_uniform,0.0001,0.00001,1,RMSprop,l1,32,41.6732
75,relu,0.3,random_uniform,0.001,0.00001,1,Adam,l1,64,96.2079
76,relu,0.3,random_uniform,0.001,0.00001,2,RMSprop,l1l2,32,88.5943
77,relu,0.3,random_uniform,0.01,0.00001,1,SGD,l1,32,40.9533
78,relu,0.3,random_uniform,0.001,0.00001,1,Adamgrad,l1,128,96.2079
79,relu,0.3,random_uniform,0.001,0.00001,1,RMSprop,l2,32,40.0283
