tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,relu,random_uniform,0.01,0.001,Adamgrad,l1l2,64,91.1044
1,linear,random_normal,0.0001,0.01,Adam,l2,128,91.1044
2,linear,random_normal,0.0001,0.001,Adamgrad,l1l2,32,91.1044
3,relu,random_uniform,0.0001,0.0001,Adamgrad,l2,128,91.1044
4,linear,random_uniform,0.001,0.001,Adamgrad,l1,32,91.1044
5,linear,random_uniform,0.0001,0.01,Adam,l1l2,32,91.1044
6,linear,random_normal,0.0001,0.0001,Adamgrad,l1,32,91.1044
7,relu,random_normal,0.0001,0.00001,SGD,l2,64,91.1044
8,linear,random_uniform,0.01,0.0001,SGD,l1l2,64,56.5288
9,linear,random_normal,0.01,0.001,RMSprop,l1l2,64,50.5637
10,linear,random_normal,0.01,0.0001,SGD,l2,128,38.5878
11,relu,random_uniform,0.0001,0.0001,Adam,l1l2,128,91.1044
12,relu,random_normal,0.0001,0.00001,Adam,l2,32,91.1141
13,linear,random_normal,0.01,0.001,RMSprop,l2,128,47.1151
14,linear,random_uniform,0.001,0.0001,SGD,l1l2,32,91.1026
15,linear,random_normal,0.001,0.001,RMSprop,l2,128,39.2011
16,linear,random_uniform,0.0001,0.01,Adam,l1l2,128,91.1044
17,linear,random_normal,0.0001,0.01,RMSprop,l1l2,64,91.1044
18,relu,random_uniform,0.01,0.0001,SGD,l2,64,37.7522
19,relu,random_normal,0.0001,0.0001,RMSprop,l1l2,32,78.8709
20,relu,random_uniform,0.01,0.0001,SGD,l2,64,38.1662
21,relu,random_uniform,0.01,0.0001,SGD,l2,64,38.0648
22,relu,random_uniform,0.01,0.0001,SGD,l1,64,36.7136
23,relu,random_uniform,0.01,0.00001,SGD,l1,64,36.3068
24,relu,random_uniform,0.01,0.00001,SGD,l1,64,38.2018
25,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.7232
26,relu,random_uniform,0.01,0.00001,SGD,l1,64,36.089
27,relu,random_uniform,0.001,0.00001,SGD,l1,64,91.0494
28,relu,random_uniform,0.01,0.00001,SGD,l1,64,39.5644
29,relu,random_uniform,0.01,0.00001,SGD,l1,64,36.4517
30,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.8157
31,relu,random_uniform,0.01,0.00001,Adamgrad,l1,64,90.9031
32,relu,random_uniform,0.001,0.00001,SGD,l1,64,90.6867
33,relu,random_uniform,0.01,0.00001,Adamgrad,l1,64,91.0042
34,relu,random_uniform,0.01,0.00001,Adam,l1,64,90.8779
35,relu,random_uniform,0.001,0.01,Adamgrad,l1,64,91.1044
36,relu,random_uniform,0.01,0.00001,SGD,l1,32,38.1502
37,relu,random_uniform,0.01,0.00001,SGD,l1,128,37.9
38,relu,random_uniform,0.01,0.01,Adamgrad,l1,64,91.1044
39,relu,random_uniform,0.001,0.001,Adam,l1,32,91.1044
40,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.0532
41,relu,random_uniform,0.01,0.00001,RMSprop,l1,64,37.8784
42,relu,random_normal,0.01,0.001,SGD,l1,128,58.2424
43,relu,random_uniform,0.001,0.00001,Adamgrad,l1,32,91.1044
44,linear,random_normal,0.0001,0.01,Adam,l1l2,64,91.1044
45,relu,random_uniform,0.01,0.001,SGD,l1,128,57.1248
46,linear,random_uniform,0.01,0.00001,RMSprop,l2,64,38.942
47,relu,random_normal,0.0001,0.00001,SGD,l1l2,32,91.1044
48,linear,random_uniform,0.01,0.01,Adam,l1,128,91.1044
49,relu,random_normal,0.001,0.001,RMSprop,l2,64,37.4265
50,linear,random_uniform,0.0001,0.00001,SGD,l1l2,64,91.1044
51,relu,random_uniform,0.01,0.00001,Adamgrad,l1,32,91.1044
52,relu,random_normal,0.01,0.01,SGD,l2,128,56.1623
53,linear,random_uniform,0.0001,0.001,Adam,l1,64,91.1044
54,relu,random_uniform,0.01,0.00001,SGD,l1l2,64,57.8724
55,relu,random_normal,0.001,0.0001,RMSprop,l1,32,37.319
56,relu,random_uniform,0.01,0.00001,SGD,l2,64,37.1557
57,linear,random_uniform,0.0001,0.00001,SGD,l1,128,91.1044
58,relu,random_uniform,0.01,0.0001,SGD,l1l2,64,59.2171
59,relu,random_normal,0.01,0.01,RMSprop,l1,64,62.465
60,linear,random_uniform,0.001,0.00001,Adamgrad,l2,64,91.1044
61,relu,random_uniform,0.01,0.001,Adam,l1,32,91.1044
62,relu,random_uniform,0.0001,0.00001,SGD,l1,64,91.1044
63,relu,random_normal,0.01,0.0001,SGD,l1l2,128,59.6595
64,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.7591
65,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.209
66,relu,random_uniform,0.01,0.00001,SGD,l1,64,36.648
67,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.5836
68,relu,random_uniform,0.01,0.00001,SGD,l1,64,38.0208
69,relu,random_uniform,0.01,0.00001,SGD,l1,64,36.7681
70,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.1065
71,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.3447
72,relu,random_uniform,0.01,0.00001,SGD,l1,64,37.1371
73,relu,random_uniform,0.01,0.00001,Adamgrad,l1,64,90.879
74,relu,random_uniform,0.001,0.01,SGD,l1,64,91.1044
75,relu,random_uniform,0.01,0.00001,RMSprop,l1,64,34.9221
76,relu,random_uniform,0.01,0.0001,RMSprop,l2,64,36.195
77,relu,random_uniform,0.01,0.0001,RMSprop,l2,32,35.9036
78,linear,random_uniform,0.01,0.0001,RMSprop,l2,32,38.838
79,relu,random_uniform,0.0001,0.0001,RMSprop,l2,32,69.8589
