tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,relu,random_normal,0.0001,0.001,Adamgrad,l2,32,92.403
1,linear,random_normal,0.01,0.0001,SGD,l1,32,38.4051
2,relu,random_uniform,0.001,0.001,Adam,l2,32,91.1063
3,relu,random_uniform,0.01,0.001,Adamgrad,l1l2,32,91.1063
4,linear,random_uniform,0.0001,0.0001,Adam,l2,64,91.1063
5,relu,random_normal,0.001,0.00001,RMSprop,l1l2,32,45.9843
6,relu,random_normal,0.0001,0.0001,SGD,l1l2,32,91.1063
7,linear,random_uniform,0.0001,0.00001,Adamgrad,l2,64,91.1063
8,linear,random_normal,0.001,0.0001,RMSprop,l1l2,128,46.6065
9,linear,random_uniform,0.001,0.01,SGD,l2,32,91.1063
10,relu,random_normal,0.001,0.001,Adamgrad,l1,32,91.1063
11,linear,random_normal,0.01,0.001,Adam,l1,128,59.9347
12,linear,random_uniform,0.0001,0.01,SGD,l1l2,32,91.1063
13,linear,random_uniform,0.0001,0.0001,Adamgrad,l1l2,128,91.1063
14,relu,random_uniform,0.01,0.01,SGD,l1l2,128,91.1063
15,relu,random_uniform,0.0001,0.001,Adamgrad,l1l2,128,91.1063
16,relu,random_normal,0.0001,0.00001,Adamgrad,l1l2,64,91.1063
17,linear,random_uniform,0.001,0.01,Adam,l2,64,91.1063
18,relu,random_uniform,0.01,0.001,SGD,l2,128,38.0029
19,linear,random_uniform,0.001,0.00001,Adam,l1l2,64,91.1063
20,linear,random_normal,0.01,0.0001,SGD,l1,128,39.5314
21,relu,random_normal,0.01,0.0001,SGD,l1,128,38.1447
22,relu,random_normal,0.01,0.001,SGD,l1,128,49.9308
23,relu,random_normal,0.01,0.0001,SGD,l1,128,36.5697
24,relu,random_normal,0.01,0.001,SGD,l2,128,37.543
25,relu,random_normal,0.01,0.0001,RMSprop,l1,128,34.7209
26,relu,random_normal,0.01,0.0001,RMSprop,l1,128,33.445
27,relu,random_normal,0.01,0.0001,RMSprop,l1,128,35.743
28,relu,random_normal,0.01,0.0001,RMSprop,l1,128,36.6902
29,relu,random_normal,0.01,0.0001,RMSprop,l1,128,35.1946
30,relu,random_normal,0.01,0.0001,RMSprop,l1,128,33.7866
31,relu,random_normal,0.01,0.0001,RMSprop,l1,128,34.4147
32,relu,random_normal,0.01,0.0001,RMSprop,l1,128,34.5397
33,relu,random_normal,0.01,0.0001,RMSprop,l1,64,36.3316
34,relu,random_normal,0.01,0.00001,RMSprop,l1,128,32.0979
35,relu,random_normal,0.01,0.00001,RMSprop,l1,128,33.5619
36,relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.1579
37,relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.5204
38,relu,random_normal,0.001,0.00001,RMSprop,l1,32,34.6155
39,relu,random_normal,0.0001,0.00001,Adam,l2,32,91.1148
40,relu,random_normal,0.01,0.00001,RMSprop,l1,32,31.9208
41,relu,random_normal,0.001,0.00001,RMSprop,l1,32,35.9109
42,relu,random_normal,0.01,0.00001,Adam,l2,32,90.5333
43,linear,random_normal,0.0001,0.00001,Adamgrad,l1,32,91.1063
44,relu,random_normal,0.001,0.00001,RMSprop,l1,32,36.9635
45,linear,random_uniform,0.01,0.01,RMSprop,l2,64,50.5346
46,relu,random_normal,0.0001,0.00001,Adamgrad,l1l2,32,91.1107
47,relu,random_uniform,0.01,0.00001,Adam,l1,32,91.1063
48,linear,random_normal,0.001,0.01,RMSprop,l1l2,64,90.9282
49,relu,random_uniform,0.0001,0.00001,Adamgrad,l1,32,91.1063
50,linear,random_normal,0.01,0.00001,RMSprop,l2,64,35.6797
51,relu,random_normal,0.01,0.01,Adam,l1,32,91.1063
52,relu,random_uniform,0.001,0.00001,RMSprop,l1l2,32,49.235
53,linear,random_normal,0.0001,0.001,Adamgrad,l1,64,91.1063
54,relu,random_normal,0.01,0.00001,RMSprop,l2,32,31.989
55,relu,random_uniform,0.01,0.00001,Adam,l2,32,91.1063
