tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,linear,random_uniform,0.01,0.0001,SGD,l2,64,39.0026
1,linear,random_normal,0.001,0.01,Adamgrad,l2,128,91.1082
2,relu,random_uniform,0.0001,0.001,SGD,l1,128,91.1082
3,linear,random_normal,0.01,0.01,SGD,l2,128,52.7609
4,relu,random_uniform,0.0001,0.01,SGD,l1l2,32,91.1082
5,linear,random_normal,0.0001,0.00001,RMSprop,l1l2,128,55.6209
6,relu,random_normal,0.01,0.00001,SGD,l1l2,128,54.627
7,linear,random_normal,0.001,0.01,RMSprop,l2,128,44.2801
8,relu,random_uniform,0.001,0.001,RMSprop,l1,64,47.0478
9,relu,random_normal,0.001,0.01,RMSprop,l1l2,32,91.1082
10,linear,random_normal,0.001,0.00001,SGD,l1,32,59.1501
11,linear,random_normal,0.001,0.001,Adamgrad,l2,32,91.1082
12,relu,random_uniform,0.01,0.00001,Adamgrad,l2,128,59.1028
13,linear,random_uniform,0.01,0.0001,SGD,l1l2,128,56.6033
14,relu,random_uniform,0.0001,0.0001,Adamgrad,l2,64,91.1082
15,linear,random_uniform,0.01,0.00001,SGD,l1,128,38.7779
16,linear,random_uniform,0.0001,0.01,Adam,l1l2,64,91.1082
17,linear,random_normal,0.001,0.00001,Adamgrad,l1,64,91.1082
18,relu,random_uniform,0.01,0.00001,Adamgrad,l2,128,58.9872
19,linear,random_uniform,0.01,0.00001,Adam,l1,32,90.7012
20,linear,random_uniform,0.01,0.0001,SGD,l1,64,39.4039
21,linear,random_uniform,0.01,0.0001,SGD,l1,64,40.0979
22,linear,random_uniform,0.01,0.0001,SGD,l1,64,39.0483
23,linear,random_uniform,0.01,0.0001,Adam,l2,64,65.579
24,linear,random_uniform,0.01,0.0001,SGD,l1,64,39.1041
25,linear,random_uniform,0.01,0.001,SGD,l2,128,38.1782
26,linear,random_uniform,0.01,0.001,Adam,l2,128,59.23
27,linear,random_uniform,0.01,0.001,SGD,l1,128,57.9369
28,linear,random_uniform,0.01,0.001,SGD,l2,128,39.1652
29,linear,random_uniform,0.01,0.001,SGD,l1,128,54.2969
30,linear,random_uniform,0.01,0.001,SGD,l2,128,41.2594
31,linear,random_uniform,0.0001,0.00001,SGD,l2,128,91.1082
32,linear,random_uniform,0.01,0.001,RMSprop,l1,128,42.2541
33,linear,random_uniform,0.01,0.00001,SGD,l2,128,38.1117
34,linear,random_uniform,0.0001,0.001,Adam,l2,128,91.1082
35,relu,random_uniform,0.01,0.00001,SGD,l2,128,37.5388
36,relu,random_normal,0.01,0.00001,SGD,l2,32,37.7351
37,relu,random_normal,0.0001,0.00001,RMSprop,l2,32,56.5249
38,relu,random_normal,0.001,0.00001,SGD,l2,32,84.6572
39,relu,random_normal,0.01,0.00001,RMSprop,l1l2,32,55.2805
40,relu,random_normal,0.001,0.01,SGD,l2,32,90.9874
41,relu,random_normal,0.01,0.00001,Adamgrad,l2,32,84.547
42,relu,random_normal,0.0001,0.00001,SGD,l1l2,32,91.1082
43,relu,random_normal,0.01,0.01,RMSprop,l2,32,53.4159
44,relu,random_normal,0.001,0.00001,Adam,l2,32,91.1082
45,relu,random_normal,0.01,0.00001,SGD,l1l2,32,56.405
46,relu,random_normal,0.0001,0.00001,Adamgrad,l2,32,91.1082
47,relu,random_normal,0.001,0.01,SGD,l2,32,90.8273
48,relu,random_normal,0.01,0.00001,RMSprop,l1l2,32,49.8946
49,relu,random_normal,0.01,0.00001,Adamgrad,l2,128,59.0421
50,relu,random_normal,0.0001,0.00001,SGD,l2,32,91.1082
51,relu,random_normal,0.001,0.01,Adam,l2,128,91.1082
52,relu,random_normal,0.01,0.00001,SGD,l1l2,64,55.8125
53,relu,random_normal,0.01,0.00001,SGD,l2,32,38.0298
54,relu,random_uniform,0.01,0.0001,Adamgrad,l2,128,58.9448
55,relu,random_uniform,0.01,0.01,SGD,l1l2,64,91.1082
56,relu,random_normal,0.001,0.00001,Adam,l2,128,91.1082
57,relu,random_uniform,0.0001,0.0001,RMSprop,l2,32,58.8054
