tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,relu,random_uniform,0.01,0.00001,SGD,l2,64,37.4858
1,linear,random_uniform,0.01,0.00001,Adam,l2,64,65.1582
2,linear,random_uniform,0.001,0.01,SGD,l1l2,64,91.1091
3,relu,random_uniform,0.0001,0.0001,RMSprop,l1,64,52.6537
4,linear,random_normal,0.0001,0.01,Adam,l1l2,128,91.1091
5,linear,random_normal,0.0001,0.01,SGD,l1,32,91.1091
6,relu,random_normal,0.001,0.00001,Adamgrad,l2,128,91.1091
7,relu,random_normal,0.01,0.0001,SGD,l2,128,35.9113
8,relu,random_uniform,0.001,0.0001,SGD,l1l2,32,91.1091
9,linear,random_normal,0.001,0.00001,RMSprop,l1,32,36.9553
10,relu,random_normal,0.01,0.00001,Adam,l1l2,128,59.9391
11,linear,random_uniform,0.0001,0.01,SGD,l1l2,64,91.1091
12,linear,random_normal,0.01,0.0001,Adam,l1l2,128,60.4845
13,relu,random_normal,0.01,0.001,Adamgrad,l1,64,66.2768
14,linear,random_normal,0.01,0.01,Adam,l2,64,60.3064
15,relu,random_uniform,0.001,0.001,SGD,l2,128,58.9235
16,linear,random_normal,0.001,0.0001,Adam,l1,128,91.1091
17,linear,random_uniform,0.001,0.01,RMSprop,l1l2,64,91.1091
18,linear,random_normal,0.01,0.00001,SGD,l1,64,38.4234
19,relu,random_uniform,0.01,0.01,SGD,l2,64,60.0316
20,relu,random_normal,0.001,0.0001,RMSprop,l1,32,37.1975
21,relu,random_normal,0.001,0.001,RMSprop,l1,32,51.2392
22,linear,random_normal,0.001,0.0001,RMSprop,l2,32,35.9919
23,relu,random_normal,0.01,0.0001,RMSprop,l2,32,37.1845
24,linear,random_normal,0.0001,0.0001,Adamgrad,l2,32,91.1091
25,relu,random_normal,0.01,0.0001,RMSprop,l2,128,36.8747
26,relu,random_normal,0.001,0.0001,Adamgrad,l2,128,91.1091
27,linear,random_normal,0.001,0.0001,RMSprop,l2,32,36.9136
28,relu,random_normal,0.01,0.0001,SGD,l2,128,38.1744
29,linear,random_normal,0.01,0.0001,RMSprop,l2,32,37.0214
30,relu,random_normal,0.01,0.001,SGD,l2,32,38.7
31,linear,random_normal,0.001,0.0001,SGD,l2,128,58.599
32,relu,random_normal,0.0001,0.0001,RMSprop,l2,32,60.9657
33,linear,random_uniform,0.01,0.0001,Adamgrad,l2,128,58.6449
34,linear,random_normal,0.0001,0.001,SGD,l2,128,91.1091
35,relu,random_normal,0.001,0.00001,RMSprop,l2,32,36.4803
36,linear,random_uniform,0.001,0.0001,SGD,l2,128,58.6852
37,relu,random_normal,0.0001,0.0001,Adam,l2,32,91.1091
38,linear,random_normal,0.01,0.00001,RMSprop,l1l2,128,49.1895
39,relu,random_uniform,0.001,0.0001,Adamgrad,l2,32,91.1091
40,linear,random_normal,0.0001,0.01,SGD,l1l2,128,91.1091
41,relu,random_normal,0.01,0.0001,RMSprop,l2,32,38.2065
42,linear,random_normal,0.001,0.00001,Adam,l1,64,91.1091
43,relu,random_uniform,0.01,0.001,SGD,l1l2,128,60.0821
44,linear,random_normal,0.001,0.0001,Adamgrad,l2,32,91.1091
45,relu,random_normal,0.0001,0.01,SGD,l2,128,91.1091
46,linear,random_uniform,0.01,0.0001,Adam,l1l2,64,84.5588
47,linear,random_normal,0.001,0.00001,RMSprop,l1,32,35.7661
48,relu,random_normal,0.01,0.00001,SGD,l1,128,36.7116
49,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.7952
50,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.601
51,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.3923
52,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.7718
53,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,36.5357
54,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.483
55,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.8424
56,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.3008
57,linear,random_uniform,0.001,0.00001,Adam,l1,64,91.1091
58,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,36.6
59,linear,random_uniform,0.001,0.00001,Adamgrad,l1,64,91.1091
60,linear,random_uniform,0.0001,0.01,RMSprop,l1,64,91.1091
61,linear,random_uniform,0.001,0.001,RMSprop,l1,64,48.5466
62,linear,random_uniform,0.001,0.00001,Adam,l1,64,91.1091
63,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.9252
64,linear,random_uniform,0.0001,0.01,Adamgrad,l1,64,91.1091
65,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.4902
66,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.6879
67,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.6673
68,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.6513
69,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.5577
70,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,33.469
71,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.9619
72,linear,random_uniform,0.001,0.001,RMSprop,l1l2,64,55.7217
73,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.1535
74,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,35.2489
75,linear,random_uniform,0.001,0.00001,Adam,l1,64,91.1091
76,linear,random_uniform,0.0001,0.001,RMSprop,l1l2,64,91.1091
77,linear,random_uniform,0.001,0.01,Adamgrad,l1,64,91.1091
78,linear,random_uniform,0.001,0.00001,RMSprop,l1,64,34.7695
79,linear,random_uniform,0.001,0.00001,RMSprop,l1l2,64,45.7613
