tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,linear,random_normal,0.001,0.00001,Adamgrad,l1,64,91.1091
1,relu,random_normal,0.01,0.01,SGD,l2,128,56.4969
2,linear,random_uniform,0.01,0.00001,SGD,l1,64,40.3117
3,linear,random_uniform,0.001,0.0001,Adam,l1l2,64,91.1091
4,linear,random_normal,0.01,0.001,SGD,l2,32,41.3721
5,relu,random_normal,0.0001,0.001,Adam,l1l2,32,91.1091
6,linear,random_normal,0.0001,0.0001,SGD,l2,64,91.1091
7,relu,random_normal,0.01,0.0001,Adam,l1l2,64,67.183
8,linear,random_normal,0.01,0.001,Adam,l1,128,59.8645
9,relu,random_uniform,0.0001,0.001,Adam,l1,128,91.1091
10,relu,random_normal,0.001,0.00001,Adam,l2,64,91.1091
11,relu,random_uniform,0.0001,0.01,RMSprop,l1l2,64,91.1091
12,relu,random_normal,0.0001,0.0001,RMSprop,l1,32,56.9694
13,linear,random_normal,0.01,0.00001,Adamgrad,l1,128,57.979
14,linear,random_normal,0.0001,0.01,SGD,l1l2,128,91.1091
15,relu,random_uniform,0.0001,0.0001,Adam,l2,128,91.1091
16,relu,random_normal,0.01,0.01,Adamgrad,l1,64,91.1091
17,relu,random_uniform,0.01,0.0001,Adamgrad,l1,128,58.7286
18,relu,random_uniform,0.01,0.0001,RMSprop,l2,64,37.7073
19,linear,random_uniform,0.0001,0.001,Adamgrad,l1l2,32,91.1091
20,linear,random_uniform,0.01,0.00001,RMSprop,l2,64,35.9983
21,linear,random_uniform,0.01,0.00001,RMSprop,l2,64,38.4469
22,linear,random_uniform,0.01,0.00001,RMSprop,l2,64,36.3208
23,linear,random_uniform,0.01,0.00001,RMSprop,l2,64,36.659
24,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,34.7448
25,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.213
26,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.482
27,linear,random_uniform,0.001,0.00001,RMSprop,l2,32,36.5283
28,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.1016
29,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.3641
30,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,36.0548
31,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.899
32,linear,random_uniform,0.001,0.01,RMSprop,l2,64,44.4268
33,linear,random_uniform,0.001,0.00001,SGD,l2,32,91.0122
34,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,35.0498
35,linear,random_uniform,0.001,0.00001,SGD,l1l2,64,72.8565
36,linear,random_uniform,0.001,0.01,Adamgrad,l2,32,91.1091
