tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,relu,random_uniform,0.001,0.01,RMSprop,l2,128,51.3133
1,linear,random_normal,0.01,0.001,Adamgrad,l1l2,64,58.6828
2,relu,random_normal,0.01,0.01,RMSprop,l2,32,64.1993
3,linear,random_uniform,0.01,0.0001,RMSprop,l1l2,32,71.0223
4,linear,random_uniform,0.001,0.00001,Adam,l2,64,96.2073
5,linear,random_normal,0.001,0.0001,SGD,l2,32,42.7244
6,relu,random_uniform,0.01,0.0001,SGD,l1l2,64,49.0697
7,relu,random_normal,0.001,0.001,SGD,l1,32,51.9307
8,linear,random_uniform,0.01,0.0001,Adam,l1l2,32,54.8281
9,relu,random_normal,0.001,0.001,RMSprop,l1,32,39.2593
10,relu,random_normal,0.001,0.0001,RMSprop,l1,64,34.7666
11,linear,random_uniform,0.0001,0.01,SGD,l1l2,32,96.2073
12,relu,random_uniform,0.0001,0.001,Adamgrad,l1,64,96.2073
13,linear,random_normal,0.001,0.00001,Adamgrad,l1l2,32,96.2073
14,relu,random_normal,0.01,0.00001,Adam,l2,32,44.4942
15,relu,random_normal,0.0001,0.001,Adamgrad,l1,64,96.1997
16,relu,random_uniform,0.01,0.01,RMSprop,l1l2,64,82.1835
17,linear,random_uniform,0.001,0.0001,Adam,l1l2,128,96.2073
18,relu,random_normal,0.0001,0.0001,Adam,l2,32,96.195
19,linear,random_uniform,0.0001,0.00001,Adamgrad,l1l2,64,96.2073
20,relu,random_normal,0.001,0.001,RMSprop,l1,128,41.8798
21,relu,random_normal,0.001,0.001,RMSprop,l1,128,41.9321
22,relu,random_normal,0.001,0.001,RMSprop,l1,64,42.1403
23,relu,random_normal,0.001,0.0001,RMSprop,l1,64,36.0023
24,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.9221
25,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.9744
26,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.359
27,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.8534
28,relu,random_normal,0.001,0.0001,RMSprop,l1,128,36.0078
29,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.9683
30,relu,random_normal,0.001,0.01,RMSprop,l1,64,86.9665
31,relu,random_normal,0.001,0.0001,RMSprop,l1,64,36.0001
32,relu,random_normal,0.0001,0.01,SGD,l1,128,96.2073
33,relu,random_normal,0.001,0.0001,RMSprop,l2,64,34.8699
34,relu,random_normal,0.01,0.00001,Adamgrad,l2,64,44.0375
35,relu,random_normal,0.001,0.0001,RMSprop,l2,64,35.3353
36,linear,random_normal,0.001,0.0001,SGD,l2,64,42.4936
37,relu,random_normal,0.01,0.0001,Adam,l2,128,42.8818
38,relu,random_normal,0.001,0.01,RMSprop,l2,64,48.9497
39,linear,random_uniform,0.001,0.0001,SGD,l2,64,43.399
40,relu,random_normal,0.01,0.00001,RMSprop,l2,64,38.684
41,linear,random_uniform,0.0001,0.0001,Adamgrad,l2,64,96.2073
42,relu,random_normal,0.001,0.0001,Adam,l2,128,96.2073
43,relu,random_normal,0.001,0.01,SGD,l2,32,51.9482
44,linear,random_uniform,0.01,0.00001,RMSprop,l1l2,64,66.6297
45,relu,random_normal,0.0001,0.0001,RMSprop,l2,32,39.3592
46,relu,random_uniform,0.001,0.0001,Adamgrad,l1l2,64,96.2073
47,linear,random_normal,0.01,0.001,Adam,l2,64,42.4992
48,relu,random_normal,0.0001,0.00001,SGD,l1l2,32,96.2073
49,relu,random_uniform,0.001,0.01,RMSprop,l2,128,50.5188
50,linear,random_normal,0.001,0.0001,Adamgrad,l1,64,96.2061
51,relu,random_normal,0.001,0.001,Adam,l2,32,96.2073
52,relu,random_uniform,0.0001,0.0001,RMSprop,l1l2,64,46.8465
53,relu,random_normal,0.01,0.00001,RMSprop,l1,64,35.9349
54,linear,random_normal,0.001,0.0001,RMSprop,l1,128,37.7544
55,relu,random_normal,0.001,0.001,SGD,l2,64,44.3973
56,relu,random_uniform,0.001,0.01,Adamgrad,l1l2,32,96.2073
57,relu,random_normal,0.0001,0.0001,Adam,l1,64,96.2916
58,linear,random_normal,0.001,0.0001,RMSprop,l1,64,36.0939
59,relu,random_normal,0.01,0.001,RMSprop,l2,128,48.6002
60,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.2556
61,relu,random_uniform,0.001,0.00001,RMSprop,l1l2,32,45.7541
62,relu,random_normal,0.0001,0.0001,Adamgrad,l1,64,96.2073
63,linear,random_normal,0.001,0.01,Adam,l2,64,96.2073
64,relu,random_normal,0.001,0.0001,SGD,l1,128,42.5176
65,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.6985
66,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.566
67,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.542
68,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.2829
69,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.2622
70,relu,random_normal,0.001,0.0001,RMSprop,l1,64,36.339
71,relu,random_normal,0.001,0.0001,RMSprop,l1,64,35.6181
72,relu,random_normal,0.001,0.0001,RMSprop,l1,64,36.5311
73,relu,random_normal,0.001,0.0001,RMSprop,l1,64,36.2124
74,relu,random_normal,0.01,0.001,RMSprop,l1,64,54.7291
75,relu,random_normal,0.001,0.0001,RMSprop,l2,64,34.7553
76,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.2325
77,relu,random_normal,0.001,0.00001,SGD,l2,32,43.2844
78,relu,random_uniform,0.0001,0.00001,RMSprop,l2,64,38.8944
