tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,linear,random_normal,0.01,0.0001,RMSprop,l2,32,39.2901
1,relu,random_uniform,0.001,0.00001,SGD,l1,32,44.4395
2,linear,random_uniform,0.01,0.00001,RMSprop,l1,64,36.2846
3,linear,random_normal,0.01,0.001,RMSprop,l2,128,47.8534
4,linear,random_uniform,0.001,0.00001,SGD,l2,128,41.53
5,linear,random_normal,0.0001,0.01,Adam,l1,64,96.1867
6,relu,random_uniform,0.001,0.01,Adam,l1,64,96.2074
7,relu,random_normal,0.0001,0.00001,Adamgrad,l2,128,96.2074
8,linear,random_uniform,0.0001,0.001,RMSprop,l1l2,32,96.1808
9,relu,random_uniform,0.01,0.001,Adamgrad,l1,32,56.9493
10,linear,random_normal,0.01,0.00001,RMSprop,l2,64,40.3182
11,relu,random_uniform,0.01,0.001,RMSprop,l1l2,64,67.6629
12,linear,random_uniform,0.01,0.001,Adamgrad,l1,128,53.5821
13,relu,random_uniform,0.0001,0.01,SGD,l1,32,96.2074
14,linear,random_normal,0.0001,0.01,Adamgrad,l2,32,96.2068
15,relu,random_normal,0.001,0.0001,Adam,l2,64,96.2074
16,relu,random_uniform,0.01,0.001,RMSprop,l2,32,47.5279
17,relu,random_uniform,0.01,0.0001,Adamgrad,l1l2,32,56.3863
18,linear,random_normal,0.0001,0.001,RMSprop,l1,64,42.8879
19,relu,random_normal,0.0001,0.00001,SGD,l1l2,32,96.2074
20,linear,random_normal,0.01,0.0001,RMSprop,l1,64,35.761
21,linear,random_normal,0.01,0.0001,RMSprop,l1,64,41.1803
22,linear,random_normal,0.01,0.0001,RMSprop,l1,64,37.6453
23,linear,random_uniform,0.01,0.00001,RMSprop,l1,64,37.3671
24,linear,random_normal,0.01,0.0001,RMSprop,l1,64,44.7425
25,linear,random_uniform,0.01,0.0001,Adam,l1,64,43.6295
26,linear,random_normal,0.01,0.00001,RMSprop,l1,64,33.3855
27,linear,random_normal,0.001,0.00001,RMSprop,l1,64,30.9346
28,linear,random_normal,0.001,0.00001,RMSprop,l1l2,64,47.5107
29,linear,random_normal,0.001,0.00001,RMSprop,l1,128,31.0285
30,linear,random_normal,0.001,0.00001,SGD,l1,128,40.6899
31,linear,random_normal,0.001,0.00001,RMSprop,l1,128,31.9633
32,linear,random_normal,0.001,0.00001,Adam,l1,128,96.169
33,linear,random_normal,0.001,0.00001,RMSprop,l1,128,31.4665
34,linear,random_normal,0.001,0.00001,SGD,l1l2,128,46.9376
35,linear,random_normal,0.001,0.00001,RMSprop,l1,128,34.2548
36,linear,random_normal,0.001,0.01,Adam,l1,128,96.2074
37,linear,random_normal,0.001,0.00001,RMSprop,l1,128,33.6051
38,linear,random_normal,0.001,0.00001,SGD,l2,128,39.8702
39,linear,random_normal,0.001,0.01,Adamgrad,l1,128,96.2074
40,linear,random_normal,0.001,0.00001,RMSprop,l1l2,128,48.5781
41,linear,random_normal,0.001,0.00001,Adam,l1,64,96.2074
42,relu,random_normal,0.001,0.00001,RMSprop,l2,128,31.892
43,linear,random_normal,0.001,0.01,Adamgrad,l1,32,96.2074
44,linear,random_normal,0.001,0.001,RMSprop,l1l2,64,47.6702
45,relu,random_uniform,0.0001,0.00001,SGD,l2,128,96.2074
46,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.3837
47,relu,random_normal,0.001,0.01,Adamgrad,l1,32,96.2074
48,linear,random_uniform,0.0001,0.001,Adam,l2,128,96.2074
49,relu,random_normal,0.001,0.00001,RMSprop,l1l2,64,46.3517
50,linear,random_uniform,0.0001,0.001,RMSprop,l1,32,47.5345
51,linear,random_normal,0.001,0.00001,Adamgrad,l1,64,96.2074
52,relu,random_normal,0.001,0.01,SGD,l2,128,46.9415
53,linear,random_uniform,0.0001,0.0001,RMSprop,l1,32,39.8558
54,linear,random_normal,0.001,0.00001,RMSprop,l1l2,64,51.585
55,linear,random_normal,0.001,0.001,Adam,l1,64,96.2074
56,relu,random_uniform,0.0001,0.00001,RMSprop,l1,128,38.7198
57,linear,random_normal,0.001,0.0001,Adamgrad,l2,32,96.2074
58,linear,random_normal,0.001,0.01,SGD,l1,64,96.2074
59,relu,random_normal,0.0001,0.00001,RMSprop,l1l2,64,46.1498
60,linear,random_uniform,0.001,0.001,RMSprop,l1,128,41.656
61,linear,random_normal,0.01,0.00001,Adam,l1,64,40.973
62,linear,random_normal,0.001,0.0001,RMSprop,l1,32,35.1586
63,linear,random_normal,0.01,0.00001,Adamgrad,l2,128,40.7056
64,relu,random_uniform,0.001,0.00001,RMSprop,l1,64,33.8204
65,linear,random_normal,0.001,0.00001,RMSprop,l1,64,30.984
66,linear,random_normal,0.001,0.00001,RMSprop,l1,64,30.458
67,linear,random_normal,0.001,0.00001,RMSprop,l1,64,30.6926
68,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.4891
69,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.154
70,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.7387
71,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.7495
72,linear,random_normal,0.001,0.00001,RMSprop,l1,64,30.8261
73,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.768
74,linear,random_normal,0.001,0.0001,SGD,l1,64,41.8419
75,linear,random_normal,0.01,0.00001,RMSprop,l1l2,64,68.6604
76,linear,random_normal,0.001,0.01,Adam,l1,64,96.2074
77,linear,random_normal,0.001,0.00001,RMSprop,l1,64,31.7766
78,linear,random_normal,0.0001,0.001,RMSprop,l1,64,44.4351
79,linear,random_normal,0.001,0.00001,SGD,l2,64,41.5972
