tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,linear,random_normal,0.0001,0.00001,SGD,l1l2,128,96.1771
1,relu,random_normal,0.0001,0.001,Adam,l2,64,96.2064
2,linear,random_uniform,0.01,0.0001,SGD,l1l2,128,50.6545
3,relu,random_normal,0.001,0.00001,Adamgrad,l1,64,96.2072
4,relu,random_normal,0.0001,0.01,Adamgrad,l1,32,96.2072
5,relu,random_normal,0.0001,0.001,Adam,l1l2,32,96.1971
6,linear,random_normal,0.0001,0.0001,SGD,l1,32,96.2072
7,relu,random_uniform,0.0001,0.0001,RMSprop,l2,32,39.8817
8,relu,random_normal,0.001,0.00001,RMSprop,l2,32,34.3714
9,linear,random_uniform,0.01,0.01,Adamgrad,l1l2,32,96.2072
10,relu,random_uniform,0.0001,0.001,Adamgrad,l1,128,96.2072
11,relu,random_uniform,0.0001,0.001,Adamgrad,l1,64,96.2072
12,relu,random_normal,0.01,0.01,Adam,l1,128,96.2072
13,linear,random_normal,0.0001,0.0001,SGD,l2,32,96.2072
14,linear,random_uniform,0.001,0.01,RMSprop,l2,32,44.3902
15,relu,random_uniform,0.0001,0.001,SGD,l1l2,32,96.2072
16,relu,random_normal,0.001,0.001,SGD,l2,128,42.9981
17,relu,random_normal,0.0001,0.0001,Adam,l1l2,128,96.2055
18,relu,random_uniform,0.001,0.01,Adamgrad,l1,32,96.2072
19,linear,random_uniform,0.0001,0.01,Adamgrad,l1l2,32,96.2072
20,relu,random_uniform,0.001,0.00001,RMSprop,l2,32,34.6034
21,relu,random_uniform,0.001,0.00001,RMSprop,l2,32,34.6352
22,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.304
23,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.6522
24,relu,random_normal,0.001,0.00001,RMSprop,l2,64,33.7756
25,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.0028
26,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.3284
27,relu,random_normal,0.001,0.00001,RMSprop,l2,64,32.9816
28,relu,random_normal,0.01,0.00001,RMSprop,l2,64,36.973
29,relu,random_normal,0.001,0.00001,RMSprop,l2,64,34.1958
30,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.6996
31,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.5083
32,linear,random_normal,0.01,0.00001,Adam,l2,64,41.5236
33,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.3244
34,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.2171
35,linear,random_normal,0.01,0.00001,Adam,l1l2,64,53.2263
36,linear,random_normal,0.001,0.0001,SGD,l2,64,41.1685
37,linear,random_normal,0.001,0.00001,RMSprop,l1,64,32.2758
38,linear,random_normal,0.001,0.0001,RMSprop,l1,128,38.4981
39,linear,random_normal,0.01,0.001,Adam,l1,64,50.1693
40,linear,random_normal,0.001,0.00001,SGD,l1,64,41.6806
41,linear,random_normal,0.001,0.01,RMSprop,l1,128,56.7536
42,linear,random_normal,0.01,0.00001,Adamgrad,l1,64,43.1582
43,linear,random_normal,0.001,0.001,RMSprop,l1,64,40.5496
