tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,linear,random_uniform,0.01,0.00001,Adam,l1,32,43.1507
1,linear,random_normal,0.0001,0.0001,RMSprop,l2,64,38.1347
2,linear,random_uniform,0.0001,0.00001,Adam,l1,128,96.2076
3,relu,random_uniform,0.001,0.001,SGD,l2,64,44.1161
4,relu,random_uniform,0.01,0.00001,RMSprop,l1,128,34.0189
5,linear,random_uniform,0.001,0.00001,Adamgrad,l1l2,64,96.2076
6,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.789
7,linear,random_uniform,0.001,0.00001,RMSprop,l1l2,128,52.938
8,relu,random_normal,0.01,0.001,SGD,l1l2,32,54.877
9,relu,random_normal,0.001,0.01,RMSprop,l1,32,96.2076
10,relu,random_normal,0.0001,0.0001,SGD,l2,32,96.2076
11,linear,random_normal,0.001,0.001,RMSprop,l1l2,64,45.8963
12,linear,random_normal,0.001,0.001,RMSprop,l2,64,38.7107
13,relu,random_uniform,0.001,0.01,SGD,l2,128,49.2144
14,linear,random_normal,0.0001,0.001,SGD,l1,64,96.2076
15,relu,random_uniform,0.0001,0.001,Adamgrad,l1,64,96.2076
16,linear,random_uniform,0.0001,0.0001,SGD,l1l2,64,96.2076
17,linear,random_uniform,0.001,0.0001,SGD,l2,32,42.65
18,relu,random_normal,0.0001,0.00001,Adamgrad,l1,32,96.1981
19,linear,random_normal,0.0001,0.01,RMSprop,l1l2,32,96.2076
20,relu,random_uniform,0.01,0.00001,RMSprop,l1,128,38.035
21,relu,random_normal,0.01,0.00001,RMSprop,l2,128,38.6947
22,relu,random_uniform,0.01,0.00001,RMSprop,l2,128,39.2427
23,relu,random_normal,0.01,0.00001,Adam,l1,128,40.4463
24,relu,random_uniform,0.01,0.00001,RMSprop,l1,128,34.3808
25,linear,random_normal,0.01,0.00001,RMSprop,l2,128,39.1694
26,linear,random_normal,0.001,0.01,Adamgrad,l1,64,96.2076
27,relu,random_uniform,0.01,0.00001,RMSprop,l2,64,35.9109
28,linear,random_uniform,0.01,0.00001,Adam,l1,128,41.725
29,relu,random_normal,0.001,0.00001,Adam,l2,128,96.2076
30,linear,random_uniform,0.01,0.0001,RMSprop,l1,64,44.2365
31,linear,random_normal,0.001,0.00001,RMSprop,l2,64,33.1626
32,linear,random_normal,0.001,0.00001,Adam,l2,64,96.2026
33,linear,random_normal,0.001,0.01,RMSprop,l2,64,48.9713
34,linear,random_normal,0.001,0.00001,Adamgrad,l2,64,96.2076
35,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.7884
36,linear,random_normal,0.001,0.0001,RMSprop,l2,64,35.2158
37,linear,random_normal,0.001,0.00001,Adam,l2,64,96.1878
38,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.2645
39,linear,random_normal,0.001,0.00001,Adamgrad,l2,64,96.2026
40,linear,random_normal,0.001,0.01,RMSprop,l1l2,64,57.1408
41,linear,random_normal,0.001,0.001,RMSprop,l2,64,39.1015
42,linear,random_normal,0.001,0.0001,RMSprop,l2,32,34.6799
43,linear,random_normal,0.001,0.00001,RMSprop,l1l2,64,50.6944
44,linear,random_normal,0.001,0.001,SGD,l2,64,40.418
45,linear,random_normal,0.0001,0.00001,Adam,l2,32,96.4723
46,linear,random_normal,0.001,0.01,Adamgrad,l1l2,64,96.2076
47,linear,random_normal,0.001,0.0001,RMSprop,l2,64,34.5404
48,linear,random_normal,0.0001,0.001,SGD,l2,64,96.1878
49,linear,random_normal,0.001,0.00001,RMSprop,l1l2,32,42.9525
50,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.8705
51,linear,random_normal,0.0001,0.001,SGD,l2,64,96.2076
52,linear,random_normal,0.001,0.01,Adamgrad,l1l2,32,96.2076
53,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,32.6376
54,linear,random_uniform,0.0001,0.0001,Adam,l2,64,96.2076
55,relu,random_uniform,0.001,0.00001,RMSprop,l2,32,34.5736
56,linear,random_uniform,0.001,0.00001,SGD,l1l2,64,48.7097
57,linear,random_uniform,0.0001,0.001,RMSprop,l1,128,43.9138
58,relu,random_uniform,0.001,0.01,Adamgrad,l2,64,96.2076
59,linear,random_uniform,0.01,0.00001,RMSprop,l2,32,41.6458
60,relu,random_uniform,0.001,0.0001,RMSprop,l1,64,36.21
61,linear,random_uniform,0.0001,0.00001,Adam,l2,128,96.2076
62,linear,random_uniform,0.01,0.00001,SGD,l1l2,64,49.045
63,relu,random_uniform,0.001,0.00001,RMSprop,l2,64,33.5571
64,linear,random_uniform,0.001,0.01,Adamgrad,l1,128,96.2076
65,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.3243
66,linear,random_uniform,0.001,0.00001,RMSprop,l2,64,32.8236
67,linear,random_normal,0.001,0.00001,RMSprop,l2,64,33.7105
68,linear,random_normal,0.001,0.00001,RMSprop,l2,64,31.9658
69,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.5631
70,linear,random_normal,0.001,0.00001,RMSprop,l2,64,33.079
71,linear,random_normal,0.001,0.00001,RMSprop,l2,64,32.4613
72,linear,random_normal,0.001,0.00001,RMSprop,l2,64,33.2199
73,linear,random_normal,0.001,0.00001,RMSprop,l2,64,34.4141
