tentativa,activation,init,lr,lr_reg,opt,reg,units1,loss
0,linear,random_normal,0.001,0.01,Adam,l1l2,32,96.2079
1,linear,random_uniform,0.01,0.01,Adamgrad,l1l2,32,96.2079
2,relu,random_uniform,0.001,0.00001,Adam,l2,64,96.2079
3,relu,random_uniform,0.0001,0.01,SGD,l1,128,96.2079
4,linear,random_normal,0.0001,0.0001,RMSprop,l1,128,38.8618
5,linear,random_uniform,0.001,0.001,Adamgrad,l1,128,96.2079
6,relu,random_normal,0.01,0.0001,RMSprop,l1,64,43.5818
7,linear,random_uniform,0.001,0.01,RMSprop,l1l2,32,96.2079
8,relu,random_normal,0.01,0.001,SGD,l1,128,41.1392
9,relu,random_uniform,0.01,0.00001,SGD,l2,128,38.2351
10,linear,random_normal,0.0001,0.0001,SGD,l2,32,96.2079
11,relu,random_normal,0.001,0.0001,SGD,l1,32,44.0164
12,relu,random_uniform,0.001,0.01,Adamgrad,l2,64,96.2079
13,relu,random_normal,0.01,0.0001,Adamgrad,l1,64,43.4306
14,relu,random_uniform,0.01,0.01,RMSprop,l1,64,79.4108
15,relu,random_normal,0.0001,0.0001,Adamgrad,l2,128,96.2079
16,relu,random_uniform,0.0001,0.001,Adamgrad,l1,64,96.2079
17,relu,random_normal,0.01,0.0001,Adamgrad,l1l2,64,52.4014
18,relu,random_uniform,0.01,0.0001,Adamgrad,l2,32,44.9974
19,relu,random_uniform,0.01,0.00001,Adamgrad,l1l2,64,52.6241
20,linear,random_normal,0.0001,0.00001,RMSprop,l2,128,38.2408
21,linear,random_normal,0.0001,0.00001,SGD,l2,128,96.1908
22,linear,random_normal,0.0001,0.00001,RMSprop,l2,128,37.8434
23,linear,random_uniform,0.0001,0.00001,SGD,l2,128,96.2079
24,linear,random_uniform,0.01,0.00001,RMSprop,l2,128,39.449
25,linear,random_normal,0.0001,0.00001,Adam,l2,128,96.2036
26,linear,random_uniform,0.01,0.00001,RMSprop,l2,128,41.0933
27,linear,random_normal,0.0001,0.00001,SGD,l2,128,96.1265
28,linear,random_normal,0.0001,0.00001,Adam,l2,128,96.2047
29,relu,random_uniform,0.01,0.00001,SGD,l2,128,37.7435
30,linear,random_normal,0.01,0.00001,RMSprop,l1l2,128,57.6177
31,linear,random_uniform,0.001,0.001,Adam,l2,128,96.2079
32,relu,random_uniform,0.0001,0.00001,SGD,l2,32,96.2079
33,relu,random_normal,0.01,0.00001,RMSprop,l1l2,128,60.8357
34,linear,random_uniform,0.0001,0.01,Adam,l2,128,96.2079
35,linear,random_normal,0.001,0.001,SGD,l2,128,41.7154
36,relu,random_uniform,0.01,0.00001,RMSprop,l1l2,32,69.5657
37,linear,random_normal,0.0001,0.00001,RMSprop,l2,128,38.3077
38,relu,random_uniform,0.001,0.01,SGD,l2,128,50.2368
39,linear,random_uniform,0.01,0.001,Adam,l2,128,43.1505
40,relu,random_normal,0.0001,0.00001,SGD,l1l2,32,96.2079
41,relu,random_normal,0.001,0.00001,RMSprop,l2,128,33.2975
