activation,init,lr,lr_reg,opt,reg,units1,loss
relu,random_normal,0.0001,0.001,Adamgrad,l2,32,92.403
linear,random_normal,0.01,0.0001,SGD,l1,32,38.4051
relu,random_uniform,0.001,0.001,Adam,l2,32,91.1063
relu,random_uniform,0.01,0.001,Adamgrad,l1l2,32,91.1063
linear,random_uniform,0.0001,0.0001,Adam,l2,64,91.1063
relu,random_normal,0.001,0.00001,RMSprop,l1l2,32,45.9843
relu,random_normal,0.0001,0.0001,SGD,l1l2,32,91.1063
linear,random_uniform,0.0001,0.00001,Adamgrad,l2,64,91.1063
linear,random_normal,0.001,0.0001,RMSprop,l1l2,128,46.6065
linear,random_uniform,0.001,0.01,SGD,l2,32,91.1063
relu,random_normal,0.001,0.001,Adamgrad,l1,32,91.1063
linear,random_normal,0.01,0.001,Adam,l1,128,59.9347
linear,random_uniform,0.0001,0.01,SGD,l1l2,32,91.1063
linear,random_uniform,0.0001,0.0001,Adamgrad,l1l2,128,91.1063
relu,random_uniform,0.01,0.01,SGD,l1l2,128,91.1063
relu,random_uniform,0.0001,0.001,Adamgrad,l1l2,128,91.1063
relu,random_normal,0.0001,0.00001,Adamgrad,l1l2,64,91.1063
linear,random_uniform,0.001,0.01,Adam,l2,64,91.1063
relu,random_uniform,0.01,0.001,SGD,l2,128,38.0029
linear,random_uniform,0.001,0.00001,Adam,l1l2,64,91.1063
linear,random_normal,0.01,0.0001,SGD,l1,128,39.5314
relu,random_normal,0.01,0.0001,SGD,l1,128,38.1447
relu,random_normal,0.01,0.001,SGD,l1,128,49.9308
relu,random_normal,0.01,0.0001,SGD,l1,128,36.5697
relu,random_normal,0.01,0.001,SGD,l2,128,37.543
relu,random_normal,0.01,0.0001,RMSprop,l1,128,34.7209
relu,random_normal,0.01,0.0001,RMSprop,l1,128,33.445
relu,random_normal,0.01,0.0001,RMSprop,l1,128,35.743
relu,random_normal,0.01,0.0001,RMSprop,l1,128,36.6902
relu,random_normal,0.01,0.0001,RMSprop,l1,128,35.1946
relu,random_normal,0.01,0.0001,RMSprop,l1,128,33.7866
relu,random_normal,0.01,0.0001,RMSprop,l1,128,34.4147
relu,random_normal,0.01,0.0001,RMSprop,l1,128,34.5397
relu,random_normal,0.01,0.0001,RMSprop,l1,64,36.3316
relu,random_normal,0.01,0.00001,RMSprop,l1,128,32.0979
relu,random_normal,0.01,0.00001,RMSprop,l1,128,33.5619
relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.1579
relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.5204
relu,random_normal,0.001,0.00001,RMSprop,l1,32,34.6155
relu,random_normal,0.0001,0.00001,Adam,l2,32,91.1148
relu,random_normal,0.01,0.00001,RMSprop,l1,32,31.9208
relu,random_normal,0.001,0.00001,RMSprop,l1,32,35.9109
relu,random_normal,0.01,0.00001,Adam,l2,32,90.5333
linear,random_normal,0.0001,0.00001,Adamgrad,l1,32,91.1063
relu,random_normal,0.001,0.00001,RMSprop,l1,32,36.9635
linear,random_uniform,0.01,0.01,RMSprop,l2,64,50.5346
relu,random_normal,0.0001,0.00001,Adamgrad,l1l2,32,91.1107
relu,random_uniform,0.01,0.00001,Adam,l1,32,91.1063
linear,random_normal,0.001,0.01,RMSprop,l1l2,64,90.9282
relu,random_uniform,0.0001,0.00001,Adamgrad,l1,32,91.1063
linear,random_normal,0.01,0.00001,RMSprop,l2,64,35.6797
relu,random_normal,0.01,0.01,Adam,l1,32,91.1063
relu,random_uniform,0.001,0.00001,RMSprop,l1l2,32,49.235
linear,random_normal,0.0001,0.001,Adamgrad,l1,64,91.1063
relu,random_normal,0.01,0.00001,RMSprop,l2,32,31.989
relu,random_uniform,0.01,0.00001,Adam,l2,32,91.1063
relu,random_normal,0.01,0.001,RMSprop,l2,32,38.8979
linear,random_normal,0.001,0.01,SGD,l2,32,78.2416
relu,random_uniform,0.0001,0.00001,Adamgrad,l2,32,91.1063
relu,random_normal,0.01,0.001,RMSprop,l2,32,41.3918
linear,random_normal,0.01,0.00001,SGD,l2,32,39.7382
relu,random_normal,0.01,0.01,RMSprop,l2,32,49.1658
relu,random_uniform,0.01,0.00001,Adam,l2,32,91.1063
relu,random_normal,0.001,0.001,RMSprop,l1l2,64,59.1067
relu,random_normal,0.0001,0.00001,SGD,l2,32,91.1063
relu,random_normal,0.01,0.00001,RMSprop,l1,128,33.4874
relu,random_normal,0.01,0.00001,RMSprop,l1,128,36.3149
relu,random_normal,0.01,0.00001,RMSprop,l1,128,32.9617
relu,random_normal,0.01,0.00001,RMSprop,l1l2,128,51.365
relu,random_normal,0.01,0.00001,RMSprop,l1,32,33.523
relu,random_normal,0.01,0.00001,RMSprop,l2,128,33.3171
relu,random_normal,0.01,0.00001,RMSprop,l1,32,31.9569
relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.5029
relu,random_normal,0.01,0.00001,RMSprop,l2,32,32.4773
relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.8118
relu,random_normal,0.01,0.01,Adamgrad,l1l2,32,91.1063
relu,random_normal,0.01,0.00001,RMSprop,l1,32,32.4003
relu,random_normal,0.01,0.001,RMSprop,l2,32,42.7951
linear,random_normal,0.01,0.00001,SGD,l1,32,39.2757
relu,random_uniform,0.001,0.00001,Adam,l1,32,91.1063
